target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
FEM_long	Eawag_XBridgeC18	0.6089	0.0733	0.7952	0.0776
FEM_long	FEM_long	0.8082	0.0636	0.9227	0.0472
FEM_long	RIKEN	0.6545	0.0956	0.8041	0.099
FEM_long	UFZ_Phenomenex	0.5921	0.0857	0.769	0.0873
FEM_long	LIFE_old	0.6794	0.0845	0.8283	0.083
RIKEN	Eawag_XBridgeC18	0.4775	0.1257	0.6263	0.1503
RIKEN	FEM_long	0.6751	0.0982	0.8082	0.1091
RIKEN	RIKEN	0.6808	0.1023	0.8161	0.1108
RIKEN	UFZ_Phenomenex	0.4152	0.1199	0.5614	0.1476
RIKEN	LIFE_old	0.6183	0.1096	0.7828	0.1109
Eawag_XBridgeC18	Eawag_XBridgeC18	0.6886	0.0622	0.847	0.057
Eawag_XBridgeC18	FEM_long	0.2929	0.1088	0.4134	0.148
Eawag_XBridgeC18	RIKEN	0.1938	0.1374	0.2682	0.1901
Eawag_XBridgeC18	UFZ_Phenomenex	0.4853	0.0849	0.6511	0.0994
Eawag_XBridgeC18	LIFE_old	0.2299	0.1172	0.3302	0.163
UFZ_Phenomenex	Eawag_XBridgeC18	0.6325	0.0991	0.7918	0.1042
UFZ_Phenomenex	FEM_long	0.3701	0.1162	0.522	0.1489
UFZ_Phenomenex	RIKEN	0.3179	0.1307	0.4539	0.1717
UFZ_Phenomenex	UFZ_Phenomenex	0.5896	0.1107	0.7547	0.1127
UFZ_Phenomenex	LIFE_old	0.3263	0.1355	0.454	0.1736
LIFE_old	Eawag_XBridgeC18	0.5727	0.1486	0.7252	0.1516
LIFE_old	FEM_long	0.6478	0.1782	0.7847	0.1719
LIFE_old	RIKEN	0.6343	0.1419	0.7863	0.13
LIFE_old	UFZ_Phenomenex	0.4754	0.1536	0.6412	0.1816
LIFE_old	LIFE_old	0.7202	0.1234	0.8466	0.1119
