target_system	training_system	score	score_std
MTBLS20	LIFE_old	0.7823	0.1100
MTBLS20	LIFE_new	0.7636	0.0987
MTBLS20	FEM_long	0.7367	0.1252
MTBLS20	FEM_short	0.6547	0.1411
MTBLS20	FEM_orbitrap_plasma	0.6658	0.1580
MTBLS20	FEM_orbitrap_urine	0.7232	0.1412
MTBLS20	IPB_Halle	0.6835	0.1251
MTBLS20	RIKEN	0.7504	0.1134
MTBLS20	Eawag_XBridgeC18	0.6727	0.1723
MTBLS20	MPI_Symmetry	0.6133	0.1270
MTBLS20	MTBLS4	0.4467	0.1613
MTBLS20	MTBLS17	0.5448	0.0071
MTBLS20	MTBLS19	0.6023	0.1607
MTBLS20	MTBLS20	0.7784	0.1296
MTBLS20	MTBLS36	0.7231	0.1059
MTBLS20	MTBLS38	0.7405	0.1102
MTBLS20	MTBLS39	0.5388	0.1322
MTBLS20	UFZ_Phenomenex	0.6920	0.1481
MTBLS20	UniToyama_Atlantis	0.5854	0.1528
MTBLS20	MTBLS52	0.6184	0.0083
MTBLS20	FEM_lipids	0.5495	0.1440
