target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
Eawag_XBridgeC18	LIFE_old	0.0000	0.0000	126.8000	31.7000	-1.0000	483.0600	14.3137	0.0000	0.0000	0.4041	0.4629	0.0000	14.7516	14.7516
Eawag_XBridgeC18	LIFE_new	0.0000	0.0000	105.9000	31.7000	-1.0000	482.6200	14.6980	0.0000	0.0000	0.3030	0.4629	0.0000	14.1895	14.1895
Eawag_XBridgeC18	FEM_long	0.0000	0.0000	280.9000	31.7000	-1.0000	482.9800	18.2836	0.0000	0.0000	0.3030	0.4629	0.0000	14.2550	14.2550
Eawag_XBridgeC18	FEM_short	0.0000	0.0000	65.0000	317.0000	-1.0000	49699.0000	19.6672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Eawag_XBridgeC18	FEM_orbitrap_plasma	0.0000	0.0000	79.0000	317.0000	-1.0000	49699.0000	19.6272	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Eawag_XBridgeC18	FEM_orbitrap_urine	0.0000	0.0000	51.0000	317.0000	-1.0000	49699.0000	19.5547	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Eawag_XBridgeC18	IPB_Halle	0.0000	0.0000	55.9000	31.7000	-1.0000	483.0800	19.2151	0.0000	0.0000	0.3030	0.4629	0.0000	14.4432	14.4432
Eawag_XBridgeC18	RIKEN	0.0000	0.0000	180.8000	31.7000	-1.0000	483.0200	19.3877	0.0000	0.0000	0.4041	0.4629	0.0000	14.2019	14.2019
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	0.0000	285.3000	31.7000	-1.0000	483.1200	21.7560	0.0000	0.0000	0.4629	0.4629	0.0000	14.4019	14.4019
Eawag_XBridgeC18	MPI_Symmetry	0.0000	0.0000	37.9000	31.7000	-1.0000	482.6800	19.8769	0.0000	0.0000	0.3030	0.4629	0.0000	14.1903	14.1903
Eawag_XBridgeC18	MTBLS4	0.0000	0.0000	34.0000	317.0000	-1.0000	49699.0000	20.6166	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Eawag_XBridgeC18	MTBLS17	0.0000	0.0000	22.0000	317.0000	-1.0000	49699.0000	20.6895	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Eawag_XBridgeC18	MTBLS19	0.0000	0.0000	27.0000	317.0000	-1.0000	49699.0000	20.3157	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Eawag_XBridgeC18	MTBLS20	0.0000	0.0000	78.8000	31.7000	-1.0000	482.8800	20.2018	0.0000	0.0000	0.4518	0.4629	0.0000	14.4174	14.4174
Eawag_XBridgeC18	MTBLS36	0.0000	0.0000	48.0000	317.0000	-1.0000	49699.0000	20.6500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Eawag_XBridgeC18	MTBLS38	0.0000	0.0000	36.9000	31.7000	-1.0000	483.1000	20.6139	0.0000	0.0000	0.3030	0.4629	0.0000	14.6361	14.6361
Eawag_XBridgeC18	MTBLS39	0.0000	0.0000	18.0000	317.0000	-1.0000	49699.0000	20.9635	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Eawag_XBridgeC18	UFZ_Phenomenex	0.0000	0.0000	185.7000	31.7000	-1.0000	482.4800	21.1342	0.0000	0.0000	2.1213	0.4629	0.0000	14.8973	14.8973
Eawag_XBridgeC18	UniToyama_Atlantis	0.0000	0.0000	99.0000	317.0000	-1.0000	49699.0000	21.4300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Eawag_XBridgeC18	MTBLS52	0.0000	0.0000	19.0000	317.0000	-1.0000	49699.0000	21.4567	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Eawag_XBridgeC18	FEM_lipids	0.0000	0.0000	63.0000	317.0000	-1.0000	49699.0000	21.8906	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
