target_system	training_system	score	score_std
MTBLS52	LIFE_old	0.6491	0.0000
MTBLS52	LIFE_new	0.6842	0.0000
MTBLS52	FEM_long	0.7193	0.0000
MTBLS52	FEM_short	0.6842	0.0265
MTBLS52	FEM_orbitrap_plasma	0.6082	0.0000
MTBLS52	FEM_orbitrap_urine	0.5146	0.0160
MTBLS52	IPB_Halle	0.6480	0.0177
MTBLS52	RIKEN	0.6784	0.0000
MTBLS52	Eawag_XBridgeC18	0.4386	0.0000
MTBLS52	MPI_Symmetry	0.6444	0.0224
MTBLS52	MTBLS4	0.5415	0.0183
MTBLS52	MTBLS17	0.4842	0.0384
MTBLS52	MTBLS19	0.6550	0.0000
MTBLS52	MTBLS20	0.6842	0.0000
MTBLS52	MTBLS36	0.6117	0.0032
MTBLS52	MTBLS38	0.6503	0.0157
MTBLS52	MTBLS39	0.6842	0.0160
MTBLS52	UFZ_Phenomenex	0.3509	0.0000
MTBLS52	UniToyama_Atlantis	0.5240	0.2111
MTBLS52	MTBLS52	0.6800	0.1832
MTBLS52	FEM_lipids	0.6234	0.0209
