target_system	training_system	score	score_std
MTBLS36	LIFE_old	0.7113	0.1032
MTBLS36	LIFE_new	0.6858	0.0911
MTBLS36	FEM_long	0.7086	0.0835
MTBLS36	FEM_short	0.6358	0.0839
MTBLS36	FEM_orbitrap_plasma	0.5819	0.1083
MTBLS36	FEM_orbitrap_urine	0.6385	0.0977
MTBLS36	IPB_Halle	0.6291	0.1071
MTBLS36	RIKEN	0.6599	0.0911
MTBLS36	Eawag_XBridgeC18	0.6915	0.0000
MTBLS36	MPI_Symmetry	0.6611	0.0920
MTBLS36	MTBLS4	0.5277	0.0024
MTBLS36	MTBLS17	0.4619	0.0085
MTBLS36	MTBLS19	0.5473	0.0019
MTBLS36	MTBLS20	0.6895	0.1050
MTBLS36	MTBLS36	0.7147	0.0741
MTBLS36	MTBLS38	0.6696	0.0962
MTBLS36	MTBLS39	0.6270	0.0962
MTBLS36	UFZ_Phenomenex	0.6835	0.0000
MTBLS36	UniToyama_Atlantis	0.6720	0.0000
MTBLS36	MTBLS52	0.6330	0.0041
MTBLS36	FEM_lipids	0.5216	0.0078
