target_system	training_system	score	score_std
MPI_Symmetry	LIFE_old	0.5931	0.1268
MPI_Symmetry	LIFE_new	0.7129	0.1019
MPI_Symmetry	FEM_long	0.6940	0.1270
MPI_Symmetry	FEM_short	0.7333	0.0929
MPI_Symmetry	FEM_orbitrap_plasma	0.6668	0.1237
MPI_Symmetry	FEM_orbitrap_urine	0.6631	0.1337
MPI_Symmetry	IPB_Halle	0.5664	0.1246
MPI_Symmetry	RIKEN	0.6850	0.1158
MPI_Symmetry	Eawag_XBridgeC18	0.7666	0.0856
MPI_Symmetry	MPI_Symmetry	0.7008	0.1057
MPI_Symmetry	MTBLS4	0.4572	0.0047
MPI_Symmetry	MTBLS17	0.3445	0.0077
MPI_Symmetry	MTBLS19	0.5038	0.0055
MPI_Symmetry	MTBLS20	0.5399	0.1287
MPI_Symmetry	MTBLS36	0.6288	0.1247
MPI_Symmetry	MTBLS38	0.6574	0.1071
MPI_Symmetry	MTBLS39	0.6930	0.0006
MPI_Symmetry	UFZ_Phenomenex	0.6711	0.1069
MPI_Symmetry	UniToyama_Atlantis	0.6071	0.1045
MPI_Symmetry	MTBLS52	0.6475	0.0264
MPI_Symmetry	FEM_lipids	0.5926	0.0037
