target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
FEM_orbitrap_urine	LIFE_old	0.0000	0.0000	124.0800	13.0000	-1.0000	77.6640	14.6122	0.0000	0.0000	1.3947	0.0000	0.0000	0.5228	0.5228
FEM_orbitrap_urine	LIFE_new	0.0000	0.0000	103.2480	13.0000	-1.0000	77.7600	18.8376	0.0000	0.0000	1.3116	0.0000	0.0000	0.4472	0.4472
FEM_orbitrap_urine	FEM_long	0.0000	0.0000	276.1040	13.0000	-1.0000	77.7280	22.0061	0.0000	0.0000	1.6403	0.0000	0.0000	0.4815	0.4815
FEM_orbitrap_urine	FEM_short	0.0000	0.0000	63.8960	13.0000	-1.0000	77.7440	20.7996	0.0000	0.0000	0.8407	0.0000	0.0000	0.5065	0.5065
FEM_orbitrap_urine	FEM_orbitrap_plasma	0.0000	0.0000	71.2720	13.0000	-1.0000	77.6400	21.7263	0.0000	0.0000	1.3523	0.0000	0.0000	0.5594	0.5594
FEM_orbitrap_urine	FEM_orbitrap_urine	0.0000	0.0000	38.0000	13.0000	-1.0000	77.7520	22.2620	0.0000	0.0000	0.0000	0.0000	0.0000	0.4518	0.4518
FEM_orbitrap_urine	IPB_Halle	0.0000	0.0000	54.7440	13.0000	-1.0000	77.6080	23.3327	0.0000	0.0000	0.9747	0.0000	0.0000	0.5521	0.5521
FEM_orbitrap_urine	RIKEN	0.0000	0.0000	178.8960	13.0000	-1.0000	77.7360	23.8519	0.0000	0.0000	1.1902	0.0000	0.0000	0.4776	0.4776
FEM_orbitrap_urine	Eawag_XBridgeC18	0.0000	0.0000	317.0000	51.0000	-1.0000	1270.0000	27.0553	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
FEM_orbitrap_urine	MPI_Symmetry	0.0000	0.0000	37.6400	13.0000	-1.0000	77.7520	24.5478	0.0000	0.0000	0.4819	0.0000	0.0000	0.4693	0.4693
FEM_orbitrap_urine	MTBLS4	0.0000	0.0000	34.0000	51.0000	-1.0000	1270.0000	24.8453	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
FEM_orbitrap_urine	MTBLS17	0.0000	0.0000	21.1440	13.0000	-1.0000	77.7120	23.0139	0.0000	0.0000	0.7373	0.0000	0.0000	0.5051	0.5051
FEM_orbitrap_urine	MTBLS19	0.0000	0.0000	25.3760	13.0000	-1.0000	77.6960	24.0244	0.0000	0.0000	0.9128	0.0000	0.0000	0.4790	0.4790
FEM_orbitrap_urine	MTBLS20	0.0000	0.0000	77.3600	13.0000	-1.0000	77.6640	24.5809	0.0000	0.0000	1.0881	0.0000	0.0000	0.5949	0.5949
FEM_orbitrap_urine	MTBLS36	0.0000	0.0000	47.2080	13.0000	-1.0000	77.7040	25.1933	0.0000	0.0000	0.7437	0.0000	0.0000	0.4756	0.4756
FEM_orbitrap_urine	MTBLS38	0.0000	0.0000	36.2080	13.0000	-1.0000	77.7040	25.8867	0.0000	0.0000	0.7105	0.0000	0.0000	0.5240	0.5240
FEM_orbitrap_urine	MTBLS39	0.0000	0.0000	18.0000	51.0000	-1.0000	1270.0000	25.8787	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
FEM_orbitrap_urine	UFZ_Phenomenex	0.0000	0.0000	191.6720	13.0000	-1.0000	77.6960	26.2834	0.0000	0.0000	0.4714	0.0000	0.0000	0.4955	0.4955
FEM_orbitrap_urine	UniToyama_Atlantis	0.0000	0.0000	98.3840	13.0000	-1.0000	77.6480	24.4659	0.0000	0.0000	0.6449	0.0000	0.0000	0.5573	0.5573
FEM_orbitrap_urine	MTBLS52	0.0000	0.0000	19.0000	51.0000	-1.0000	1270.0000	23.4326	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
FEM_orbitrap_urine	FEM_lipids	0.0000	0.0000	58.5920	13.0000	-1.0000	77.7280	25.9260	0.0000	0.0000	1.4148	0.0000	0.0000	0.4980	0.4980
