target_system	training_system	score	score_std
UniToyama_Atlantis	LIFE_old	0.7436	0.0857
UniToyama_Atlantis	LIFE_new	0.7540	0.0971
UniToyama_Atlantis	FEM_long	0.7570	0.0791
UniToyama_Atlantis	FEM_short	0.4957	0.1208
UniToyama_Atlantis	FEM_orbitrap_plasma	0.7050	0.1098
UniToyama_Atlantis	FEM_orbitrap_urine	0.6708	0.1147
UniToyama_Atlantis	IPB_Halle	0.7266	0.0837
UniToyama_Atlantis	RIKEN	0.7762	0.0939
UniToyama_Atlantis	Eawag_XBridgeC18	0.7922	0.0000
UniToyama_Atlantis	MPI_Symmetry	0.7586	0.0861
UniToyama_Atlantis	MTBLS4	0.4420	0.0018
UniToyama_Atlantis	MTBLS17	0.5493	0.0032
UniToyama_Atlantis	MTBLS19	0.5654	0.0015
UniToyama_Atlantis	MTBLS20	0.6722	0.0854
UniToyama_Atlantis	MTBLS36	0.7184	0.0052
UniToyama_Atlantis	MTBLS38	0.7033	0.0832
UniToyama_Atlantis	MTBLS39	0.6037	0.0071
UniToyama_Atlantis	UFZ_Phenomenex	0.6806	0.1026
UniToyama_Atlantis	UniToyama_Atlantis	0.8104	0.0898
UniToyama_Atlantis	MTBLS52	0.5781	0.1070
UniToyama_Atlantis	FEM_lipids	0.5579	0.1025
