target_system	training_system	score	score_std
MTBLS39	LIFE_old	0.8304	0.1271
MTBLS39	LIFE_new	0.8416	0.1137
MTBLS39	FEM_long	0.8984	0.0842
MTBLS39	FEM_short	0.8272	0.1153
MTBLS39	FEM_orbitrap_plasma	0.7843	0.0000
MTBLS39	FEM_orbitrap_urine	0.8183	0.0175
MTBLS39	IPB_Halle	0.7020	0.0164
MTBLS39	RIKEN	0.8760	0.1066
MTBLS39	Eawag_XBridgeC18	0.7582	0.0000
MTBLS39	MPI_Symmetry	0.7804	0.0058
MTBLS39	MTBLS4	0.5869	0.0072
MTBLS39	MTBLS17	0.3255	0.0169
MTBLS39	MTBLS19	0.4863	0.0563
MTBLS39	MTBLS20	0.8304	0.1226
MTBLS39	MTBLS36	0.8200	0.1709
MTBLS39	MTBLS38	0.8314	0.0055
MTBLS39	MTBLS39	0.8720	0.0997
MTBLS39	UFZ_Phenomenex	0.7778	0.0000
MTBLS39	UniToyama_Atlantis	0.5033	0.0000
MTBLS39	MTBLS52	0.6575	0.0454
MTBLS39	FEM_lipids	0.5294	0.0179
