target_system	training_system	score	score_std
FEM_long	LIFE_old	0.7996	0.0488
FEM_long	LIFE_new	0.8041	0.0406
FEM_long	FEM_long	0.8777	0.0395
FEM_long	FEM_short	0.5644	0.0677
FEM_long	FEM_orbitrap_plasma	0.7692	0.0481
FEM_long	FEM_orbitrap_urine	0.7931	0.0532
FEM_long	IPB_Halle	0.7430	0.0568
FEM_long	RIKEN	0.8164	0.0422
FEM_long	Eawag_XBridgeC18	0.7586	0.0489
FEM_long	MPI_Symmetry	0.6924	0.0549
FEM_long	MTBLS4	0.5708	0.0816
FEM_long	MTBLS17	0.5380	0.0846
FEM_long	MTBLS19	0.5914	0.0624
FEM_long	MTBLS20	0.7576	0.0572
FEM_long	MTBLS36	0.7198	0.0499
FEM_long	MTBLS38	0.7998	0.0449
FEM_long	MTBLS39	0.5726	0.0666
FEM_long	UFZ_Phenomenex	0.7772	0.0504
FEM_long	UniToyama_Atlantis	0.6850	0.0523
FEM_long	MTBLS52	0.6154	0.0098
FEM_long	FEM_lipids	0.6378	0.0758
