target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
MTBLS38	LIFE_old	0.5470	0.1884	0.6790	0.1957
MTBLS38	LIFE_new	0.6583	0.1435	0.7864	0.1293
MTBLS38	FEM_long	0.6398	0.1378	0.7919	0.1239
MTBLS38	FEM_short	0.3913	0.1769	0.5032	0.2224
MTBLS38	FEM_orbitrap_plasma	0.3604	0.2015	0.4785	0.2345
MTBLS38	FEM_orbitrap_urine	0.4887	0.1566	0.6346	0.1727
MTBLS38	IPB_Halle	0.5175	0.1643	0.6655	0.1727
MTBLS38	RIKEN	0.6729	0.1007	0.8269	0.0848
MTBLS38	Eawag_XBridgeC18	0.5008	0.1837	0.6404	0.2075
MTBLS38	MPI_Symmetry	0.4816	0.1931	0.6136	0.2237
MTBLS38	MTBLS4	-0.0535	0.0132	-0.0827	0.0195
MTBLS38	MTBLS17	-0.1694	0.0046	-0.2435	0.0088
MTBLS38	MTBLS19	-0.0432	0.0096	-0.0659	0.0120
MTBLS38	MTBLS20	0.5655	0.1815	0.7198	0.1745
MTBLS38	MTBLS36	0.4855	0.1437	0.6292	0.1619
MTBLS38	MTBLS38	0.5090	0.1486	0.6587	0.1638
MTBLS38	MTBLS39	0.1027	0.0075	0.1566	0.0094
MTBLS38	UFZ_Phenomenex	0.4715	0.0000	0.6771	0.0000
MTBLS38	UniToyama_Atlantis	0.2665	0.2279	0.3675	0.2992
MTBLS38	MTBLS52	0.3718	0.0668	0.5055	0.0664
MTBLS38	FEM_lipids	-0.0523	0.0075	-0.0814	0.0093
