target_system	training_system	score	score_std
Eawag_XBridgeC18	LIFE_old	0.5759	0.0556
Eawag_XBridgeC18	LIFE_new	0.5774	0.0627
Eawag_XBridgeC18	FEM_long	0.5983	0.0542
Eawag_XBridgeC18	FEM_short	0.5805	0.0030
Eawag_XBridgeC18	FEM_orbitrap_plasma	0.5965	0.0000
Eawag_XBridgeC18	FEM_orbitrap_urine	0.5888	0.0016
Eawag_XBridgeC18	IPB_Halle	0.5985	0.0662
Eawag_XBridgeC18	RIKEN	0.5690	0.0541
Eawag_XBridgeC18	Eawag_XBridgeC18	0.7942	0.0388
Eawag_XBridgeC18	MPI_Symmetry	0.5383	0.0574
Eawag_XBridgeC18	MTBLS4	0.5429	0.0037
Eawag_XBridgeC18	MTBLS17	0.5128	0.0033
Eawag_XBridgeC18	MTBLS19	0.4760	0.0022
Eawag_XBridgeC18	MTBLS20	0.5560	0.0622
Eawag_XBridgeC18	MTBLS36	0.5896	0.0014
Eawag_XBridgeC18	MTBLS38	0.5868	0.0490
Eawag_XBridgeC18	MTBLS39	0.5018	0.0006
Eawag_XBridgeC18	UFZ_Phenomenex	0.7106	0.0469
Eawag_XBridgeC18	UniToyama_Atlantis	0.5827	0.0000
Eawag_XBridgeC18	MTBLS52	0.5359	0.0244
Eawag_XBridgeC18	FEM_lipids	0.5948	0.0025
