target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
RIKEN	LIFE_old	0.4511	0.1417	0.5903	0.1719
RIKEN	LIFE_new	0.5545	0.1116	0.7125	0.1191
RIKEN	FEM_long	0.5739	0.1338	0.7170	0.1401
RIKEN	FEM_short	0.3396	0.1397	0.4780	0.1831
RIKEN	FEM_orbitrap_plasma	0.2035	0.1613	0.2731	0.2297
RIKEN	FEM_orbitrap_urine	0.4623	0.1404	0.5932	0.1694
RIKEN	IPB_Halle	0.3078	0.1292	0.4218	0.1669
RIKEN	RIKEN	0.6376	0.1112	0.7826	0.1170
RIKEN	Eawag_XBridgeC18	0.3794	0.1979	0.4915	0.2580
RIKEN	MPI_Symmetry	0.3956	0.1403	0.5331	0.1740
RIKEN	MTBLS4	0.0652	0.0072	0.0952	0.0104
RIKEN	MTBLS17	-0.2380	0.0147	-0.3318	0.0224
RIKEN	MTBLS19	-0.0384	0.0067	-0.0581	0.0113
RIKEN	MTBLS20	0.4602	0.1479	0.6065	0.1772
RIKEN	MTBLS36	0.3790	0.1896	0.4967	0.2320
RIKEN	MTBLS38	0.5489	0.1110	0.7088	0.1200
RIKEN	MTBLS39	0.2373	0.1413	0.3377	0.1855
RIKEN	UFZ_Phenomenex	0.3903	0.1541	0.5420	0.1950
RIKEN	UniToyama_Atlantis	0.0697	0.1810	0.1096	0.2558
RIKEN	MTBLS52	0.3074	0.0302	0.4498	0.0403
RIKEN	FEM_lipids	0.0372	0.1912	0.0502	0.2624
