target_system	training_system	score	score_std
UFZ_Phenomenex	LIFE_old	0.6441	0.0808
UFZ_Phenomenex	LIFE_new	0.6320	0.0685
UFZ_Phenomenex	FEM_long	0.6435	0.0827
UFZ_Phenomenex	FEM_short	0.6154	0.0104
UFZ_Phenomenex	FEM_orbitrap_plasma	0.6316	0.0618
UFZ_Phenomenex	FEM_orbitrap_urine	0.6244	0.0688
UFZ_Phenomenex	IPB_Halle	0.6449	0.0697
UFZ_Phenomenex	RIKEN	0.6502	0.0764
UFZ_Phenomenex	Eawag_XBridgeC18	0.7715	0.0571
UFZ_Phenomenex	MPI_Symmetry	0.5925	0.0862
UFZ_Phenomenex	MTBLS4	0.5517	0.0001
UFZ_Phenomenex	MTBLS17	0.5189	0.0028
UFZ_Phenomenex	MTBLS19	0.4985	0.0032
UFZ_Phenomenex	MTBLS20	0.6378	0.0776
UFZ_Phenomenex	MTBLS36	0.6119	0.0043
UFZ_Phenomenex	MTBLS38	0.6146	0.0004
UFZ_Phenomenex	MTBLS39	0.4952	0.0006
UFZ_Phenomenex	UFZ_Phenomenex	0.7744	0.0456
UFZ_Phenomenex	UniToyama_Atlantis	0.5645	0.0812
UFZ_Phenomenex	MTBLS52	0.5477	0.0150
UFZ_Phenomenex	FEM_lipids	0.6104	0.0730
