target_system	training_system	score	score_std
MTBLS38	LIFE_old	0.7735	0.0942
MTBLS38	LIFE_new	0.8292	0.0718
MTBLS38	FEM_long	0.8199	0.0689
MTBLS38	FEM_short	0.6956	0.0884
MTBLS38	FEM_orbitrap_plasma	0.6802	0.1008
MTBLS38	FEM_orbitrap_urine	0.7444	0.0783
MTBLS38	IPB_Halle	0.7588	0.0822
MTBLS38	RIKEN	0.8364	0.0504
MTBLS38	Eawag_XBridgeC18	0.7504	0.0918
MTBLS38	MPI_Symmetry	0.7408	0.0965
MTBLS38	MTBLS4	0.4733	0.0066
MTBLS38	MTBLS17	0.4153	0.0023
MTBLS38	MTBLS19	0.4784	0.0048
MTBLS38	MTBLS20	0.7828	0.0907
MTBLS38	MTBLS36	0.7428	0.0719
MTBLS38	MTBLS38	0.7545	0.0743
MTBLS38	MTBLS39	0.5514	0.0037
MTBLS38	UFZ_Phenomenex	0.7357	0.0000
MTBLS38	UniToyama_Atlantis	0.6332	0.1139
MTBLS38	MTBLS52	0.6859	0.0334
MTBLS38	FEM_lipids	0.4739	0.0038
