target_system	training_system	score	score_std
MTBLS19	LIFE_old	0.5597	0.1444
MTBLS19	LIFE_new	0.5256	0.1381
MTBLS19	FEM_long	0.6013	0.1537
MTBLS19	FEM_short	0.4349	0.0108
MTBLS19	FEM_orbitrap_plasma	0.6583	0.1397
MTBLS19	FEM_orbitrap_urine	0.4998	0.1463
MTBLS19	IPB_Halle	0.5381	0.1631
MTBLS19	RIKEN	0.4971	0.0000
MTBLS19	Eawag_XBridgeC18	0.5057	0.0000
MTBLS19	MPI_Symmetry	0.4971	0.0061
MTBLS19	MTBLS4	0.4479	0.1547
MTBLS19	MTBLS17	0.5868	0.1600
MTBLS19	MTBLS19	0.6675	0.1354
MTBLS19	MTBLS20	0.5201	0.1534
MTBLS19	MTBLS36	0.5017	0.0153
MTBLS19	MTBLS38	0.4680	0.0013
MTBLS19	MTBLS39	0.6006	0.0047
MTBLS19	UFZ_Phenomenex	0.4514	0.0000
MTBLS19	UniToyama_Atlantis	0.6286	0.0000
MTBLS19	MTBLS52	0.6457	0.0165
MTBLS19	FEM_lipids	0.7035	0.0972
