target_system	training_system	score	score_std
MTBLS4	LIFE_old	0.6077	0.1002
MTBLS4	LIFE_new	0.5948	0.0811
MTBLS4	FEM_long	0.5144	0.1507
MTBLS4	FEM_short	0.5308	0.0030
MTBLS4	FEM_orbitrap_plasma	0.6132	0.0829
MTBLS4	FEM_orbitrap_urine	0.5821	0.0008
MTBLS4	IPB_Halle	0.3325	0.1415
MTBLS4	RIKEN	0.3388	0.0000
MTBLS4	Eawag_XBridgeC18	0.5678	0.0000
MTBLS4	MPI_Symmetry	0.3850	0.1284
MTBLS4	MTBLS4	0.6594	0.1052
MTBLS4	MTBLS17	0.2587	0.1337
MTBLS4	MTBLS19	0.2477	0.1253
MTBLS4	MTBLS20	0.3590	0.1550
MTBLS4	MTBLS36	0.5806	0.0000
MTBLS4	MTBLS38	0.5733	0.0000
MTBLS4	MTBLS39	0.5769	0.0000
MTBLS4	UFZ_Phenomenex	0.5842	0.0000
MTBLS4	UniToyama_Atlantis	0.2875	0.0000
MTBLS4	MTBLS52	0.4817	0.1262
MTBLS4	FEM_lipids	0.5728	0.1020
