target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
MTBLS4	LIFE_old	0.5322	0.1727	0.6775	0.1770
MTBLS4	LIFE_new	0.5181	0.1413	0.6595	0.1566
MTBLS4	FEM_long	0.3456	0.2960	0.4427	0.3850
MTBLS4	FEM_short	0.3669	0.0069	0.4995	0.0068
MTBLS4	FEM_orbitrap_plasma	0.5557	0.1222	0.6932	0.1276
MTBLS4	FEM_orbitrap_urine	0.4853	0.0019	0.6731	0.0017
MTBLS4	IPB_Halle	-0.0818	0.3262	-0.1346	0.4094
MTBLS4	RIKEN	-0.0761	0.0000	-0.1458	0.0000
MTBLS4	Eawag_XBridgeC18	0.4523	0.0000	0.6568	0.0000
MTBLS4	MPI_Symmetry	0.0304	0.2964	0.0371	0.4356
MTBLS4	MTBLS4	0.6562	0.1205	0.7793	0.1117
MTBLS4	MTBLS17	-0.2628	0.2851	-0.3571	0.3333
MTBLS4	MTBLS19	-0.2885	0.2518	-0.3855	0.3129
MTBLS4	MTBLS20	-0.0437	0.3188	-0.0945	0.3970
MTBLS4	MTBLS36	0.4819	0.0000	0.6635	0.0000
MTBLS4	MTBLS38	0.4650	0.0000	0.6594	0.0000
MTBLS4	MTBLS39	0.4734	0.0000	0.6542	0.0000
MTBLS4	UFZ_Phenomenex	0.4903	0.0000	0.6812	0.0000
MTBLS4	UniToyama_Atlantis	-0.1944	0.0000	-0.2749	0.0000
MTBLS4	MTBLS52	0.2536	0.2914	0.3320	0.4306
MTBLS4	FEM_lipids	0.4639	0.2061	0.5648	0.2369
