target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
RIKEN	RIKEN	9	32	0.959	0.0106	0.9598	0.0094
RIKEN	RIKEN	9	64	0.959	0.0106	0.9598	0.0094
RIKEN	RIKEN	9	Inf	0.959	0.0106	0.9598	0.0094
RIKEN	RIKEN	11	16	0.9719	0.0121	0.9731	0.0124
RIKEN	RIKEN	11	32	0.9719	0.0117	0.9732	0.0122
RIKEN	RIKEN	11	64	0.9719	0.0117	0.9732	0.0122
RIKEN	RIKEN	11	Inf	0.9719	0.0117	0.9732	0.0122
RIKEN	RIKEN	13	16	0.9775	0.0146	0.9781	0.0155
RIKEN	RIKEN	13	32	0.9774	0.0142	0.9781	0.0153
RIKEN	RIKEN	13	64	0.9774	0.0142	0.9781	0.0153
RIKEN	RIKEN	13	Inf	0.9774	0.0142	0.9781	0.0153
Eawag_XBridgeC18	Eawag_XBridgeC18	0	1	0.5534	0.0124	0.5535	0.0122
Eawag_XBridgeC18	Eawag_XBridgeC18	0	2	0.5809	0.01	0.5807	0.01
Eawag_XBridgeC18	Eawag_XBridgeC18	0	4	0.625	0.0068	0.6246	0.007
Eawag_XBridgeC18	Eawag_XBridgeC18	0	8	0.6952	0.0066	0.6945	0.007
Eawag_XBridgeC18	Eawag_XBridgeC18	0	16	0.7789	0.0089	0.7786	0.0092
Eawag_XBridgeC18	Eawag_XBridgeC18	0	32	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	0	64	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	0	Inf	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	1	1	0.5534	0.0124	0.5535	0.0122
Eawag_XBridgeC18	Eawag_XBridgeC18	1	2	0.5809	0.01	0.5807	0.01
Eawag_XBridgeC18	Eawag_XBridgeC18	1	4	0.625	0.0068	0.6246	0.007
Eawag_XBridgeC18	Eawag_XBridgeC18	1	8	0.6952	0.0066	0.6945	0.007
Eawag_XBridgeC18	Eawag_XBridgeC18	1	16	0.7789	0.0089	0.7786	0.0092
Eawag_XBridgeC18	Eawag_XBridgeC18	1	32	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	1	64	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	1	Inf	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	3	4	0.6723	0.0085	0.6717	0.0087
Eawag_XBridgeC18	Eawag_XBridgeC18	3	8	0.7395	0.0093	0.7387	0.0097
Eawag_XBridgeC18	Eawag_XBridgeC18	3	16	0.8191	0.011	0.8188	0.0113
Eawag_XBridgeC18	Eawag_XBridgeC18	3	32	0.8507	0.0093	0.8506	0.0093
Eawag_XBridgeC18	Eawag_XBridgeC18	3	64	0.8507	0.0093	0.8506	0.0093
Eawag_XBridgeC18	Eawag_XBridgeC18	3	Inf	0.8507	0.0093	0.8506	0.0093
Eawag_XBridgeC18	Eawag_XBridgeC18	5	8	0.7776	0.0136	0.7767	0.0137
Eawag_XBridgeC18	Eawag_XBridgeC18	5	16	0.8534	0.0126	0.8531	0.0127
Eawag_XBridgeC18	Eawag_XBridgeC18	5	32	0.8826	0.0102	0.8825	0.0101
Eawag_XBridgeC18	Eawag_XBridgeC18	5	64	0.8826	0.0102	0.8825	0.0101
Eawag_XBridgeC18	Eawag_XBridgeC18	5	Inf	0.8826	0.0102	0.8825	0.0101
Eawag_XBridgeC18	Eawag_XBridgeC18	7	8	0.8114	0.0125	0.8108	0.0122
Eawag_XBridgeC18	Eawag_XBridgeC18	7	16	0.8828	0.012	0.8826	0.0121
Eawag_XBridgeC18	Eawag_XBridgeC18	7	32	0.9094	0.0096	0.9094	0.0093
Eawag_XBridgeC18	Eawag_XBridgeC18	7	64	0.9094	0.0096	0.9094	0.0093
Eawag_XBridgeC18	Eawag_XBridgeC18	7	Inf	0.9094	0.0096	0.9094	0.0093
Eawag_XBridgeC18	Eawag_XBridgeC18	9	16	0.9066	0.0144	0.9065	0.0144
Eawag_XBridgeC18	Eawag_XBridgeC18	9	32	0.9309	0.0111	0.9309	0.0107
Eawag_XBridgeC18	Eawag_XBridgeC18	9	64	0.9309	0.0111	0.9309	0.0107
Eawag_XBridgeC18	Eawag_XBridgeC18	9	Inf	0.9309	0.0111	0.9309	0.0107
Eawag_XBridgeC18	Eawag_XBridgeC18	11	16	0.9263	0.0147	0.9263	0.0147
Eawag_XBridgeC18	Eawag_XBridgeC18	11	32	0.9482	0.0113	0.9482	0.0108
Eawag_XBridgeC18	Eawag_XBridgeC18	11	64	0.9482	0.0113	0.9482	0.0108
Eawag_XBridgeC18	Eawag_XBridgeC18	11	Inf	0.9482	0.0113	0.9482	0.0108
Eawag_XBridgeC18	Eawag_XBridgeC18	13	16	0.9408	0.0157	0.9409	0.0155
Eawag_XBridgeC18	Eawag_XBridgeC18	13	32	0.9609	0.0109	0.961	0.0103
Eawag_XBridgeC18	Eawag_XBridgeC18	13	64	0.9609	0.0109	0.961	0.0103
Eawag_XBridgeC18	Eawag_XBridgeC18	13	Inf	0.9609	0.0109	0.961	0.0103
UFZ_Phenomenex	UFZ_Phenomenex	0	1	0.5448	0.0189	0.5451	0.0182
UFZ_Phenomenex	UFZ_Phenomenex	0	2	0.5813	0.0123	0.5814	0.0122
UFZ_Phenomenex	UFZ_Phenomenex	0	4	0.6309	0.0136	0.6306	0.0136
UFZ_Phenomenex	UFZ_Phenomenex	0	8	0.7067	0.0159	0.7063	0.016
UFZ_Phenomenex	UFZ_Phenomenex	0	16	0.7713	0.0137	0.7708	0.0138
UFZ_Phenomenex	UFZ_Phenomenex	0	32	0.7734	0.0137	0.7729	0.0138
UFZ_Phenomenex	UFZ_Phenomenex	0	64	0.7734	0.0137	0.7729	0.0138
UFZ_Phenomenex	UFZ_Phenomenex	0	Inf	0.7734	0.0137	0.7729	0.0138
UFZ_Phenomenex	UFZ_Phenomenex	1	1	0.5448	0.0189	0.5451	0.0182
UFZ_Phenomenex	UFZ_Phenomenex	1	2	0.5813	0.0123	0.5814	0.0122
UFZ_Phenomenex	UFZ_Phenomenex	1	4	0.6309	0.0136	0.6306	0.0136
UFZ_Phenomenex	UFZ_Phenomenex	1	8	0.7067	0.0159	0.7063	0.016
UFZ_Phenomenex	UFZ_Phenomenex	1	16	0.7713	0.0137	0.7708	0.0138
UFZ_Phenomenex	UFZ_Phenomenex	1	32	0.7734	0.0137	0.7729	0.0138
UFZ_Phenomenex	UFZ_Phenomenex	1	64	0.7734	0.0137	0.7729	0.0138
UFZ_Phenomenex	UFZ_Phenomenex	1	Inf	0.7734	0.0137	0.7729	0.0138
UFZ_Phenomenex	UFZ_Phenomenex	3	4	0.687	0.0198	0.6861	0.0196
UFZ_Phenomenex	UFZ_Phenomenex	3	8	0.7617	0.0216	0.761	0.0218
UFZ_Phenomenex	UFZ_Phenomenex	3	16	0.824	0.0169	0.8235	0.0171
UFZ_Phenomenex	UFZ_Phenomenex	3	32	0.826	0.0169	0.8254	0.0169
UFZ_Phenomenex	UFZ_Phenomenex	3	64	0.826	0.0169	0.8254	0.0169
UFZ_Phenomenex	UFZ_Phenomenex	3	Inf	0.826	0.0169	0.8254	0.0169
UFZ_Phenomenex	UFZ_Phenomenex	5	8	0.8088	0.0285	0.8081	0.0287
UFZ_Phenomenex	UFZ_Phenomenex	5	16	0.8684	0.0194	0.8679	0.0195
UFZ_Phenomenex	UFZ_Phenomenex	5	32	0.8703	0.0192	0.8696	0.0192
