C	score	target_system	training_systems
10.0000	0.7983	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7920	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7413	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6920	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6920	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7305	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7591	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7580	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7393	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7030	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6712	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6712	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7640	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7935	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7956	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7808	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6934	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6831	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6831	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7505	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7891	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7923	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7634	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7206	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7035	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7035	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7544	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7754	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7754	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7655	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7246	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6505	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6505	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7323	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7710	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7763	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7495	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6828	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7160	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7160	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7798	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7942	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7953	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7870	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7407	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6751	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6751	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7693	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8138	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8127	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7979	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7132	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7094	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7094	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7729	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7953	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7976	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7682	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7235	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7248	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7248	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7858	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8091	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8158	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7858	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7358	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7137	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7137	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.8022	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8098	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8087	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7945	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7290	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7080	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7080	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.8217	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8384	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8425	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.8165	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7393	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7212	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7212	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.8385	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8429	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8507	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.8330	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7500	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6857	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6857	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7831	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8074	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8159	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7947	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7228	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7105	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7105	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7869	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7837	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7975	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7900	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7306	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7014	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7014	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7940	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7971	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7971	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7846	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7222	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7315	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7315	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7981	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8203	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8203	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.8066	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7431	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7044	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7044	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7907	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8323	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8274	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7946	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7262	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6891	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6891	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7811	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8081	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8148	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7969	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7138	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6655	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6655	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7583	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7905	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7905	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7726	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6893	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6637	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6637	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7736	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8013	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8013	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.8024	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7092	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7309	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7309	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7928	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8074	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8153	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.8142	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7511	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6625	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6625	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7656	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7969	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7937	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7854	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6927	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6878	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6878	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7566	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7905	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7852	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7778	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6984	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6619	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6619	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7551	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7733	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7662	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7682	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6700	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6858	Eawag_XBridgeC18	Eawag_XBridgeC18
