system	N
Eawag_XBridgeC18	317
FEM_lipids	63
FEM_long	281
FEM_orbitrap_plasma	79
FEM_orbitrap_urine	51
FEM_short	65
IPB_Halle	56
LIFE_new	106
LIFE_old	127
MPI_Symmetry	38
MTBLS17	22
MTBLS19	27
MTBLS20	79
MTBLS36	48
MTBLS38	37
MTBLS39	18
MTBLS4	34
MTBLS52	19
RIKEN	181
UFZ_Phenomenex	192
UniToyama_Atlantis	99
