C	epsilon	score	target_system	training_systems
0.0010	0.0100	-2.5630	MTBLS17	MTBLS17
0.0010	0.0250	-2.5630	MTBLS17	MTBLS17
0.0010	0.0500	-2.4168	MTBLS17	MTBLS17
0.0010	0.1000	-2.0457	MTBLS17	MTBLS17
0.0010	0.1500	-1.8021	MTBLS17	MTBLS17
0.0010	0.2500	-1.9777	MTBLS17	MTBLS17
0.0010	0.5000	-5.3265	MTBLS17	MTBLS17
0.0010	1.0000	-8.5546	MTBLS17	MTBLS17
0.0010	1.5000	-14.7588	MTBLS17	MTBLS17
0.0010	2.0000	-14.7588	MTBLS17	MTBLS17
0.0100	0.0100	-2.5314	MTBLS17	MTBLS17
0.0100	0.0250	-2.5314	MTBLS17	MTBLS17
0.0100	0.0500	-2.3877	MTBLS17	MTBLS17
0.0100	0.1000	-2.0223	MTBLS17	MTBLS17
0.0100	0.1500	-1.7820	MTBLS17	MTBLS17
0.0100	0.2500	-1.9697	MTBLS17	MTBLS17
0.0100	0.5000	-5.2951	MTBLS17	MTBLS17
0.0100	1.0000	-8.5749	MTBLS17	MTBLS17
0.0100	1.5000	-14.7588	MTBLS17	MTBLS17
0.0100	2.0000	-14.7588	MTBLS17	MTBLS17
0.1000	0.0100	-2.2259	MTBLS17	MTBLS17
0.1000	0.0250	-2.2259	MTBLS17	MTBLS17
0.1000	0.0500	-2.1055	MTBLS17	MTBLS17
0.1000	0.1000	-1.7995	MTBLS17	MTBLS17
0.1000	0.1500	-1.6001	MTBLS17	MTBLS17
0.1000	0.2500	-1.9000	MTBLS17	MTBLS17
0.1000	0.5000	-5.0106	MTBLS17	MTBLS17
0.1000	1.0000	-8.7878	MTBLS17	MTBLS17
0.1000	1.5000	-14.7588	MTBLS17	MTBLS17
0.1000	2.0000	-14.7588	MTBLS17	MTBLS17
1.0000	0.0100	-0.4494	MTBLS17	MTBLS17
1.0000	0.0250	-0.4570	MTBLS17	MTBLS17
1.0000	0.0500	-0.5019	MTBLS17	MTBLS17
1.0000	0.1000	-0.5476	MTBLS17	MTBLS17
1.0000	0.1500	-0.5985	MTBLS17	MTBLS17
1.0000	0.2500	-0.8871	MTBLS17	MTBLS17
1.0000	0.5000	-2.1729	MTBLS17	MTBLS17
1.0000	1.0000	-4.6755	MTBLS17	MTBLS17
1.0000	1.5000	-14.7588	MTBLS17	MTBLS17
1.0000	2.0000	-14.7588	MTBLS17	MTBLS17
10.0000	0.0100	-2.7670	MTBLS17	MTBLS17
10.0000	0.0250	-2.6618	MTBLS17	MTBLS17
10.0000	0.0500	-2.4924	MTBLS17	MTBLS17
10.0000	0.1000	-2.1946	MTBLS17	MTBLS17
10.0000	0.1500	-1.9096	MTBLS17	MTBLS17
10.0000	0.2500	-1.4268	MTBLS17	MTBLS17
10.0000	0.5000	-1.0365	MTBLS17	MTBLS17
10.0000	1.0000	-4.6755	MTBLS17	MTBLS17
10.0000	1.5000	-14.7588	MTBLS17	MTBLS17
10.0000	2.0000	-14.7588	MTBLS17	MTBLS17
100.0000	0.0100	-2.7670	MTBLS17	MTBLS17
100.0000	0.0250	-2.6617	MTBLS17	MTBLS17
100.0000	0.0500	-2.4924	MTBLS17	MTBLS17
100.0000	0.1000	-2.1950	MTBLS17	MTBLS17
100.0000	0.1500	-1.9094	MTBLS17	MTBLS17
100.0000	0.2500	-1.4268	MTBLS17	MTBLS17
100.0000	0.5000	-1.0365	MTBLS17	MTBLS17
100.0000	1.0000	-4.6755	MTBLS17	MTBLS17
100.0000	1.5000	-14.7588	MTBLS17	MTBLS17
100.0000	2.0000	-14.7588	MTBLS17	MTBLS17
0.0010	0.0100	-4.0233	MTBLS17	MTBLS17
0.0010	0.0250	-4.0233	MTBLS17	MTBLS17
0.0010	0.0500	-4.0410	MTBLS17	MTBLS17
0.0010	0.1000	-4.2664	MTBLS17	MTBLS17
0.0010	0.1500	-4.7265	MTBLS17	MTBLS17
0.0010	0.2500	-5.7444	MTBLS17	MTBLS17
0.0010	0.5000	-8.6966	MTBLS17	MTBLS17
0.0010	1.0000	-12.9916	MTBLS17	MTBLS17
0.0010	1.5000	-18.4667	MTBLS17	MTBLS17
0.0010	2.0000	-18.4790	MTBLS17	MTBLS17
0.0100	0.0100	-4.0061	MTBLS17	MTBLS17
0.0100	0.0250	-4.0061	MTBLS17	MTBLS17
0.0100	0.0500	-4.0221	MTBLS17	MTBLS17
0.0100	0.1000	-4.2543	MTBLS17	MTBLS17
0.0100	0.1500	-4.7145	MTBLS17	MTBLS17
0.0100	0.2500	-5.7322	MTBLS17	MTBLS17
0.0100	0.5000	-8.7078	MTBLS17	MTBLS17
0.0100	1.0000	-12.9969	MTBLS17	MTBLS17
0.0100	1.5000	-18.3560	MTBLS17	MTBLS17
0.0100	2.0000	-18.4790	MTBLS17	MTBLS17
0.1000	0.0100	-3.8769	MTBLS17	MTBLS17
0.1000	0.0250	-3.8769	MTBLS17	MTBLS17
0.1000	0.0500	-3.8806	MTBLS17	MTBLS17
0.1000	0.1000	-4.1758	MTBLS17	MTBLS17
0.1000	0.1500	-4.6368	MTBLS17	MTBLS17
0.1000	0.2500	-5.6499	MTBLS17	MTBLS17
0.1000	0.5000	-8.8613	MTBLS17	MTBLS17
0.1000	1.0000	-13.0528	MTBLS17	MTBLS17
0.1000	1.5000	-17.3015	MTBLS17	MTBLS17
0.1000	2.0000	-18.4790	MTBLS17	MTBLS17
1.0000	0.0100	-6.0452	MTBLS17	MTBLS17
1.0000	0.0250	-5.8644	MTBLS17	MTBLS17
1.0000	0.0500	-5.6869	MTBLS17	MTBLS17
1.0000	0.1000	-5.4959	MTBLS17	MTBLS17
1.0000	0.1500	-5.3919	MTBLS17	MTBLS17
1.0000	0.2500	-5.4140	MTBLS17	MTBLS17
1.0000	0.5000	-7.1283	MTBLS17	MTBLS17
1.0000	1.0000	-11.0021	MTBLS17	MTBLS17
1.0000	1.5000	-16.8269	MTBLS17	MTBLS17
1.0000	2.0000	-18.4790	MTBLS17	MTBLS17
10.0000	0.0100	-3.3162	MTBLS17	MTBLS17
10.0000	0.0250	-3.3681	MTBLS17	MTBLS17
10.0000	0.0500	-3.4512	MTBLS17	MTBLS17
10.0000	0.1000	-3.6531	MTBLS17	MTBLS17
10.0000	0.1500	-3.8910	MTBLS17	MTBLS17
10.0000	0.2500	-4.3381	MTBLS17	MTBLS17
10.0000	0.5000	-5.7448	MTBLS17	MTBLS17
10.0000	1.0000	-11.0021	MTBLS17	MTBLS17
10.0000	1.5000	-16.8269	MTBLS17	MTBLS17
10.0000	2.0000	-18.4790	MTBLS17	MTBLS17
100.0000	0.0100	-3.3162	MTBLS17	MTBLS17
100.0000	0.0250	-3.3680	MTBLS17	MTBLS17
100.0000	0.0500	-3.4512	MTBLS17	MTBLS17
100.0000	0.1000	-3.6532	MTBLS17	MTBLS17
100.0000	0.1500	-3.8911	MTBLS17	MTBLS17
100.0000	0.2500	-4.3381	MTBLS17	MTBLS17
100.0000	0.5000	-5.7448	MTBLS17	MTBLS17
100.0000	1.0000	-11.0021	MTBLS17	MTBLS17
100.0000	1.5000	-16.8269	MTBLS17	MTBLS17
100.0000	2.0000	-18.4790	MTBLS17	MTBLS17
0.0010	0.0100	-6.5131	MTBLS17	MTBLS17
0.0010	0.0250	-6.5131	MTBLS17	MTBLS17
0.0010	0.0500	-6.5131	MTBLS17	MTBLS17
0.0010	0.1000	-6.5131	MTBLS17	MTBLS17
0.0010	0.1500	-7.3433	MTBLS17	MTBLS17
0.0010	0.2500	-9.8941	MTBLS17	MTBLS17
0.0010	0.5000	-9.7817	MTBLS17	MTBLS17
0.0010	1.0000	-6.7987	MTBLS17	MTBLS17
0.0010	1.5000	-17.4393	MTBLS17	MTBLS17
0.0010	2.0000	-17.4646	MTBLS17	MTBLS17
0.0100	0.0100	-6.3803	MTBLS17	MTBLS17
0.0100	0.0250	-6.3803	MTBLS17	MTBLS17
0.0100	0.0500	-6.3803	MTBLS17	MTBLS17
0.0100	0.1000	-6.3803	MTBLS17	MTBLS17
0.0100	0.1500	-7.3201	MTBLS17	MTBLS17
0.0100	0.2500	-9.8691	MTBLS17	MTBLS17
0.0100	0.5000	-9.6909	MTBLS17	MTBLS17
0.0100	1.0000	-6.7900	MTBLS17	MTBLS17
0.0100	1.5000	-17.2130	MTBLS17	MTBLS17
0.0100	2.0000	-17.4646	MTBLS17	MTBLS17
0.1000	0.0100	-5.1451	MTBLS17	MTBLS17
0.1000	0.0250	-5.1451	MTBLS17	MTBLS17
0.1000	0.0500	-5.1914	MTBLS17	MTBLS17
0.1000	0.1000	-5.8861	MTBLS17	MTBLS17
0.1000	0.1500	-7.1073	MTBLS17	MTBLS17
0.1000	0.2500	-9.4789	MTBLS17	MTBLS17
0.1000	0.5000	-8.8102	MTBLS17	MTBLS17
0.1000	1.0000	-6.7344	MTBLS17	MTBLS17
0.1000	1.5000	-15.0725	MTBLS17	MTBLS17
0.1000	2.0000	-17.4646	MTBLS17	MTBLS17
1.0000	0.0100	-2.3468	MTBLS17	MTBLS17
1.0000	0.0250	-2.4324	MTBLS17	MTBLS17
1.0000	0.0500	-2.5807	MTBLS17	MTBLS17
1.0000	0.1000	-3.3304	MTBLS17	MTBLS17
1.0000	0.1500	-4.1090	MTBLS17	MTBLS17
1.0000	0.2500	-4.3368	MTBLS17	MTBLS17
1.0000	0.5000	-2.6507	MTBLS17	MTBLS17
1.0000	1.0000	-4.6395	MTBLS17	MTBLS17
1.0000	1.5000	-14.1193	MTBLS17	MTBLS17
1.0000	2.0000	-17.4646	MTBLS17	MTBLS17
10.0000	0.0100	-2.4099	MTBLS17	MTBLS17
10.0000	0.0250	-2.5578	MTBLS17	MTBLS17
10.0000	0.0500	-2.8167	MTBLS17	MTBLS17
10.0000	0.1000	-2.7237	MTBLS17	MTBLS17
