n_spectra	top1	top1_acc
80	20.0000	25.0000
80	20.0000	25.0000
80	16.0000	20.0000
80	21.0000	26.2500
80	22.0000	27.5000
80	19.0000	23.7500
80	20.0000	25.0000
80	17.0000	21.2500
80	19.0000	23.7500
80	21.0000	26.2500
80	20.0000	25.0000
80	24.0000	30.0000
80	21.0000	26.2500
80	22.0000	27.5000
80	21.0000	26.2500
80	17.0000	21.2500
80	18.0000	22.5000
80	17.0000	21.2500
80	20.0000	25.0000
80	19.0000	23.7500
80	17.0000	21.2500
80	18.0000	22.5000
80	17.0000	21.2500
80	18.0000	22.5000
80	19.0000	23.7500
80	20.0000	25.0000
80	19.0000	23.7500
80	25.0000	31.2500
80	21.0000	26.2500
80	22.0000	27.5000
80	19.0000	23.7500
80	17.0000	21.2500
80	19.0000	23.7500
80	21.0000	26.2500
80	18.0000	22.5000
80	17.0000	21.2500
80	20.0000	25.0000
80	18.0000	22.5000
80	22.0000	27.5000
80	19.0000	23.7500
80	19.0000	23.7500
80	24.0000	30.0000
80	17.0000	21.2500
80	22.0000	27.5000
80	23.0000	28.7500
80	19.0000	23.7500
80	17.0000	21.2500
80	23.0000	28.7500
80	25.0000	31.2500
80	21.0000	26.2500
80	19.0000	23.7500
80	19.0000	23.7500
80	23.0000	28.7500
80	18.0000	22.5000
80	20.0000	25.0000
80	17.0000	21.2500
80	20.0000	25.0000
80	20.0000	25.0000
80	22.0000	27.5000
80	23.0000	28.7500
80	23.0000	28.7500
80	22.0000	27.5000
80	18.0000	22.5000
80	18.0000	22.5000
80	21.0000	26.2500
80	25.0000	31.2500
80	18.0000	22.5000
80	23.0000	28.7500
80	24.0000	30.0000
80	20.0000	25.0000
80	21.0000	26.2500
80	23.0000	28.7500
80	18.0000	22.5000
80	21.0000	26.2500
80	17.0000	21.2500
80	18.0000	22.5000
80	21.0000	26.2500
80	18.0000	22.5000
80	23.0000	28.7500
80	19.0000	23.7500
80	20.0000	25.0000
80	23.0000	28.7500
80	24.0000	30.0000
80	20.0000	25.0000
80	20.0000	25.0000
80	19.0000	23.7500
80	20.0000	25.0000
80	15.0000	18.7500
80	20.0000	25.0000
80	20.0000	25.0000
80	19.0000	23.7500
80	18.0000	22.5000
80	13.0000	16.2500
80	22.0000	27.5000
80	16.0000	20.0000
80	17.0000	21.2500
80	17.0000	21.2500
80	20.0000	25.0000
80	19.0000	23.7500
80	18.0000	22.5000
