target_system	training_system	score	score_std
MTBLS20	FEM_orbitrap_urine;Eawag_XBridgeC18	0.703	0.1368
FEM_short	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7123	0.0797
FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7984	0.0416
MTBLS19	FEM_orbitrap_urine;Eawag_XBridgeC18	0.4119	0.1788
UFZ_Phenomenex	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7776	0.0581
MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18	0.3863	0.1714
FEM_lipids	FEM_orbitrap_urine;Eawag_XBridgeC18	0.536	0.0736
UniToyama_Atlantis	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7861	0.0731
MTBLS39	FEM_orbitrap_urine;Eawag_XBridgeC18	0.8235	0
MTBLS52	FEM_orbitrap_urine;Eawag_XBridgeC18	0.4854	0
MTBLS38	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7721	0.0823
FEM_orbitrap_urine	FEM_orbitrap_urine;Eawag_XBridgeC18	0.8322	0.0631
MPI_Symmetry	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7541	0.104
IPB_Halle	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7542	0.0817
RIKEN	FEM_orbitrap_urine;Eawag_XBridgeC18	0.706	0.0839
Eawag_XBridgeC18	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7918	0.043
MTBLS36	FEM_orbitrap_urine;Eawag_XBridgeC18	0.6898	0.083
FEM_orbitrap_plasma	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7398	0.1084
MTBLS4	FEM_orbitrap_urine;Eawag_XBridgeC18	0.5751	0
LIFE_old	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7463	0.0903
LIFE_new	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7577	0.0916
