target_system	training_system	score	score_std
MTBLS39	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.7776	0.157
IPB_Halle	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6813	0.0884
MTBLS36	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6697	0.0947
FEM_orbitrap_plasma	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6874	0.1265
LIFE_new	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.7389	0.0982
MTBLS52	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6608	0
LIFE_old	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.7392	0.0825
MTBLS20	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6978	0.1376
FEM_short	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.7469	0.0586
Eawag_XBridgeC18	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6341	0.0545
UniToyama_Atlantis	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6936	0.1188
MTBLS19	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.634	0.163
FEM_long	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.7593	0.0426
UFZ_Phenomenex	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6785	0.0825
MTBLS17	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6989	0.1375
MTBLS38	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.8032	0.0758
FEM_lipids	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6477	0.0921
MTBLS4	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6	0.0907
RIKEN	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.7576	0.0643
MPI_Symmetry	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.696	0.109
FEM_orbitrap_urine	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6973	0.0874
