target_system	training_system	score	score_std
LIFE_new	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6964	0.0919
IPB_Halle	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6551	0.0778
MTBLS4	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.4989	0.1167
MTBLS36	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6792	0.0986
FEM_orbitrap_plasma	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.7339	0.0975
MTBLS52	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6199	0
MTBLS20	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.7395	0.1094
FEM_orbitrap_urine	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.7555	0.0799
RIKEN	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.607	0.0882
FEM_short	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6778	0.0949
MTBLS19	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6872	0.1437
UFZ_Phenomenex	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6479	0.0801
MTBLS38	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6377	0.1183
MTBLS17	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6691	0.1399
FEM_lipids	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.7521	0.0805
LIFE_old	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6948	0.0963
UniToyama_Atlantis	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6499	0.1089
Eawag_XBridgeC18	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6224	0.0741
MPI_Symmetry	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.531	0.1277
MTBLS39	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.8496	0.1112
FEM_long	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.6929	0.0664
