target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
MTBLS38	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.59	0.1439	0.7461	0.1426
FEM_orbitrap_urine	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.5383	0.1816	0.6657	0.2001
MTBLS52	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.4941	0	0.6238	0
IPB_Halle	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.3686	0.1444	0.5046	0.189
MPI_Symmetry	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.4527	0.1977	0.5854	0.2155
MTBLS20	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.3879	0.2774	0.4924	0.3247
MTBLS36	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.3758	0.189	0.4788	0.2361
FEM_orbitrap_plasma	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.4396	0.2658	0.5506	0.3041
RIKEN	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.4811	0.1319	0.6449	0.144
FEM_short	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.6197	0.1135	0.7749	0.1125
MTBLS19	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.2832	0.3036	0.3482	0.3715
UniToyama_Atlantis	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.4462	0.2055	0.5911	0.2298
FEM_long	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.6311	0.0717	0.7945	0.0747
UFZ_Phenomenex	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.2648	0.1574	0.3734	0.2155
MTBLS39	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.7639	0.2161	0.8494	0.1682
LIFE_new	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.4343	0.1546	0.5878	0.1829
LIFE_old	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.4767	0.1304	0.6388	0.158
MTBLS17	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	-0.292	0.3644	-0.3568	0.4214
Eawag_XBridgeC18	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.2633	0.1085	0.3672	0.1495
FEM_lipids	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.4409	0.163	0.5484	0.1982
MTBLS4	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.5111	0.1742	0.6483	0.1994
