target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
MTBLS38	RIKEN;LIFE_new;MTBLS20;FEM_long	0.5428	0.1463	0.706	0.1502
FEM_orbitrap_urine	RIKEN;LIFE_new;MTBLS20;FEM_long	0.4258	0.196	0.5538	0.2211
MTBLS39	RIKEN;LIFE_new;MTBLS20;FEM_long	0.7542	0.2245	0.8388	0.1866
MPI_Symmetry	RIKEN;LIFE_new;MTBLS20;FEM_long	0.4386	0.2054	0.559	0.2326
Eawag_XBridgeC18	RIKEN;LIFE_new;MTBLS20;FEM_long	0.3086	0.1075	0.4359	0.1524
MTBLS36	RIKEN;LIFE_new;MTBLS20;FEM_long	0.3108	0.1893	0.4197	0.2302
FEM_orbitrap_plasma	RIKEN;LIFE_new;MTBLS20;FEM_long	0.3722	0.2636	0.4753	0.2988
RIKEN	RIKEN;LIFE_new;MTBLS20;FEM_long	0.5121	0.134	0.6775	0.1329
MTBLS52	RIKEN;LIFE_new;MTBLS20;FEM_long	0.506	0	0.6221	0
MTBLS20	RIKEN;LIFE_new;MTBLS20;FEM_long	0.4317	0.209	0.5699	0.2382
FEM_short	RIKEN;LIFE_new;MTBLS20;FEM_long	0.5138	0.1295	0.6656	0.1475
UniToyama_Atlantis	RIKEN;LIFE_new;MTBLS20;FEM_long	0.4104	0.2245	0.5324	0.2772
MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long	0.0459	0.3028	0.0679	0.3691
FEM_long	RIKEN;LIFE_new;MTBLS20;FEM_long	0.6256	0.1031	0.7747	0.1144
UFZ_Phenomenex	RIKEN;LIFE_new;MTBLS20;FEM_long	0.292	0.1324	0.4149	0.1768
MTBLS17	RIKEN;LIFE_new;MTBLS20;FEM_long	-0.3649	0.3867	-0.4339	0.4625
FEM_lipids	RIKEN;LIFE_new;MTBLS20;FEM_long	0.2183	0.1629	0.2838	0.2139
MTBLS4	RIKEN;LIFE_new;MTBLS20;FEM_long	0.5256	0.1846	0.6577	0.2012
LIFE_old	RIKEN;LIFE_new;MTBLS20;FEM_long	0.414	0.1528	0.5498	0.1848
IPB_Halle	RIKEN;LIFE_new;MTBLS20;FEM_long	0.3458	0.1259	0.495	0.1604
LIFE_new	RIKEN;LIFE_new;MTBLS20;FEM_long	0.4415	0.1693	0.5789	0.1969
