target_system	training_system	score	score_std
MTBLS38	FEM_orbitrap_urine;UFZ_Phenomenex	0.6825	0.0973
MTBLS52	FEM_orbitrap_urine;UFZ_Phenomenex	0.4854	0
MTBLS20	FEM_orbitrap_urine;UFZ_Phenomenex	0.6838	0.1359
FEM_orbitrap_urine	FEM_orbitrap_urine;UFZ_Phenomenex	0.77	0.0701
Eawag_XBridgeC18	FEM_orbitrap_urine;UFZ_Phenomenex	0.6887	0.0562
UniToyama_Atlantis	FEM_orbitrap_urine;UFZ_Phenomenex	0.6469	0.131
MPI_Symmetry	FEM_orbitrap_urine;UFZ_Phenomenex	0.638	0.1163
FEM_short	FEM_orbitrap_urine;UFZ_Phenomenex	0.7724	0.0485
RIKEN	FEM_orbitrap_urine;UFZ_Phenomenex	0.6555	0.0659
MTBLS39	FEM_orbitrap_urine;UFZ_Phenomenex	0.7974	0
MTBLS36	FEM_orbitrap_urine;UFZ_Phenomenex	0.5909	0.111
FEM_orbitrap_plasma	FEM_orbitrap_urine;UFZ_Phenomenex	0.6382	0.1537
FEM_long	FEM_orbitrap_urine;UFZ_Phenomenex	0.7453	0.052
IPB_Halle	FEM_orbitrap_urine;UFZ_Phenomenex	0.6591	0.089
MTBLS17	FEM_orbitrap_urine;UFZ_Phenomenex	0.5877	0.1922
LIFE_new	FEM_orbitrap_urine;UFZ_Phenomenex	0.7122	0.0765
MTBLS19	FEM_orbitrap_urine;UFZ_Phenomenex	0.528	0.159
LIFE_old	FEM_orbitrap_urine;UFZ_Phenomenex	0.7481	0.0786
UFZ_Phenomenex	FEM_orbitrap_urine;UFZ_Phenomenex	0.7556	0.0484
FEM_lipids	FEM_orbitrap_urine;UFZ_Phenomenex	0.7545	0.0639
MTBLS4	FEM_orbitrap_urine;UFZ_Phenomenex	0.5751	0
