target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
UniToyama_Atlantis	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.8	9.9	-1	44.1	11.1809	0	0	0.4041	0.303	0	2.7274	2.7274
MTBLS19	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	446	27	-1	350	14.1794	0	0	0	0	0	0	0
FEM_long	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.5	28.1	-1	380.52	10.2662	0	0	0.6776	0.303	0	8.3988	8.3988
UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	426.8	19.2	-1	173.82	10.6901	0	0	0.4041	0.4041	0	7.7188	7.7188
MTBLS17	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	446	22	-1	227	13.9183	0	0	0	0	0	0	0
LIFE_new	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.6	10.6	-1	50.98	10.7686	0	0	0.6701	0.4949	0	4.9342	4.9342
FEM_lipids	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.536	16	-1	119.32	13.8341	0	0	0.5895	0	0	0.7025	0.7025
MTBLS4	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	446	34	-1	546	10.1746	0	0	0	0	0	0	0
Eawag_XBridgeC18	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	414.3	31.7	-1	483.28	13.2891	0	0	0.4629	0.4629	0	14.2672	14.2672
LIFE_old	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.6	12.7	-1	74.3	14.1833	0	0	0.6061	0.4629	0	5.4968	5.4968
FEM_orbitrap_plasma	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.7	7.9	-1	27.28	10.5122	0	0	0.4629	0.303	0	2.1193	2.1193
MTBLS38	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.712	10	-1	45	10.3674	0	0	0.4547	0	0	0	0
FEM_orbitrap_urine	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.808	13	-1	77.656	14.5226	0	0	0.3955	0	0	0.5551	0.5551
RIKEN	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.6	18.1	-1	153.08	13.5546	0	0	0.5714	0.303	0	5.5359	5.5359
IPB_Halle	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.16	14	-1	90.408	14.2073	0	0	0.734	0	0	0.7416	0.7416
MPI_Symmetry	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.168	10	-1	45	14.5989	0	0	0.7485	0	0	0	0
MTBLS36	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	446	48	-1	1128	18.5834	0	0	0	0	0	0	0
MTBLS39	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	446	18	-1	153	10.0739	0	0	0	0	0	0	0
MTBLS52	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	446	19	-1	171	13.7631	0	0	0	0	0	0	0
MTBLS20	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	445.6	7.9	-1	26.8	10.2798	0	0	0.5345	0.303	0	2.1285	2.1285
FEM_short	Eawag_XBridgeC18;UFZ_Phenomenex	0	0	446	65	-1	2075	10.0698	0	0	0	0	0	0	0
