target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
MTBLS38	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	241.096	10	-1	45	10.4207	0	0	0.7665	0	0	0	0
RIKEN	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	240.8	18.1	-1	153.16	10.0363	0	0	1.069	0.303	0	5.5746	5.5746
FEM_orbitrap_urine	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	229	13	-1	77.648	10.1932	0	0	0	0	0	0.5716	0.5716
Eawag_XBridgeC18	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	235.7	31.7	-1	482.96	9.9802	0	0	2.4096	0.4629	0	14.6119	14.6119
MTBLS19	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	240.416	7	-1	20.936	10.0979	0	0	0.9262	0	0	0.2457	0.2457
FEM_long	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	239.6	28.1	-1	380.64	10.2863	0	0	1.807	0.303	0	8.5494	8.5494
MTBLS20	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	241.1	7.9	-1	26.8	10.1121	0	0	0.8864	0.303	0	2.2223	2.2223
MTBLS39	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	242	18	-1	153	9.9038	0	0	0	0	0	0	0
IPB_Halle	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	240.464	14	-1	90.272	10.1042	0	0	0.98	0	0	0.8555	0.8555
LIFE_new	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	240.6	10.6	-1	50.94	10.2004	0	0	0.9897	0.4949	0	4.9048	4.9048
MTBLS36	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	241.224	12	-1	66	10.2911	0	0	0.7056	0	0	0	0
MTBLS4	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	242	34	-1	546	10.0208	0	0	0	0	0	0	0
MTBLS17	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	241.184	6	-1	14.792	10.1404	0	0	0.7555	0	0	0.4075	0.4075
FEM_orbitrap_plasma	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	238.8	7.9	-1	27.28	10.0899	0	0	1.3997	0.303	0	2.1193	2.1193
MTBLS52	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	242	19	-1	171	12.3822	0	0	0	0	0	0	0
UniToyama_Atlantis	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	241.7	9.9	-1	44.1	12.0169	0	0	0.6776	0.303	0	2.7274	2.7274
UFZ_Phenomenex	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	222.8	19.2	-1	173.84	10.0422	0	0	0.4041	0.4041	0	7.8698	7.8698
FEM_lipids	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	237.616	16	-1	119.2	18.4618	0	0	1.4524	0	0	0.7725	0.7725
LIFE_old	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	240.6	12.7	-1	74.38	10.7587	0	0	1.0102	0.4629	0	5.5875	5.5875
MPI_Symmetry	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	241.184	10	-1	45	10.2556	0	0	0.7765	0	0	0	0
FEM_short	FEM_orbitrap_urine;UFZ_Phenomenex	0	0	240.816	17	-1	135.72	10.1657	0	0	0.8925	0	0	0.5016	0.5016
