target_system	training_system	score	score_std
FEM_orbitrap_urine	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.7478	0.0932
MPI_Symmetry	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.7255	0.0994
MTBLS39	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.8688	0.1073
IPB_Halle	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.6813	0.0706
MTBLS52	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.7251	0
MTBLS36	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.6865	0.0938
RIKEN	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.7398	0.0671
MTBLS38	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.795	0.0719
MTBLS17	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.3166	0.1735
Eawag_XBridgeC18	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.632	0.0545
MTBLS20	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.696	0.1403
FEM_short	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.8057	0.0579
MTBLS4	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.6017	0.0858
LIFE_old	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.7365	0.0656
UniToyama_Atlantis	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.7173	0.1033
FEM_orbitrap_plasma	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.7063	0.1444
MTBLS19	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.6284	0.1504
FEM_long	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.8138	0.0356
LIFE_new	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.7158	0.0767
FEM_lipids	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.7041	0.0821
UFZ_Phenomenex	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0.6328	0.0789
