target_system	training_system	score	score_std
Eawag_XBridgeC18	Eawag_XBridgeC18;UFZ_Phenomenex	0.7241	0.0357
MTBLS52	Eawag_XBridgeC18;UFZ_Phenomenex	0.4444	0
MPI_Symmetry	Eawag_XBridgeC18;UFZ_Phenomenex	0.6462	0.1155
MTBLS20	Eawag_XBridgeC18;UFZ_Phenomenex	0.6314	0.1429
FEM_short	Eawag_XBridgeC18;UFZ_Phenomenex	0.6631	0
UniToyama_Atlantis	Eawag_XBridgeC18;UFZ_Phenomenex	0.6681	0.0876
RIKEN	Eawag_XBridgeC18;UFZ_Phenomenex	0.6393	0.0839
MTBLS19	Eawag_XBridgeC18;UFZ_Phenomenex	0.5057	0
FEM_long	Eawag_XBridgeC18;UFZ_Phenomenex	0.7664	0.0399
UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex	0.7089	0.0517
MTBLS39	Eawag_XBridgeC18;UFZ_Phenomenex	0.6928	0
LIFE_new	Eawag_XBridgeC18;UFZ_Phenomenex	0.7128	0.09
FEM_lipids	Eawag_XBridgeC18;UFZ_Phenomenex	0.6614	0.0784
MTBLS4	Eawag_XBridgeC18;UFZ_Phenomenex	0.5842	0
MTBLS38	Eawag_XBridgeC18;UFZ_Phenomenex	0.7044	0.0873
FEM_orbitrap_urine	Eawag_XBridgeC18;UFZ_Phenomenex	0.7594	0.0541
LIFE_old	Eawag_XBridgeC18;UFZ_Phenomenex	0.6858	0.0866
FEM_orbitrap_plasma	Eawag_XBridgeC18;UFZ_Phenomenex	0.7107	0.0847
IPB_Halle	Eawag_XBridgeC18;UFZ_Phenomenex	0.7314	0.0782
MTBLS17	Eawag_XBridgeC18;UFZ_Phenomenex	0.5595	0
MTBLS36	Eawag_XBridgeC18;UFZ_Phenomenex	0.664	0
