target_system	training_system	score	score_std
MTBLS36	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.6716	0.0878
FEM_orbitrap_plasma	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.7626	0.1159
MPI_Symmetry	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.6711	0.0942
FEM_short	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.6911	0.0852
Eawag_XBridgeC18	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.616	0.0648
RIKEN	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.6362	0.0818
MTBLS39	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.7984	0.1307
IPB_Halle	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.711	0.0823
LIFE_new	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.7614	0.1039
FEM_long	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.7339	0.0651
MTBLS20	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.7004	0.1325
LIFE_old	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.7497	0.0778
UniToyama_Atlantis	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.6496	0.0961
MTBLS52	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.6351	0.0032
MTBLS19	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.791	0.1042
FEM_orbitrap_urine	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.7975	0.0601
UFZ_Phenomenex	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.6373	0.0727
MTBLS17	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.6235	0.1813
FEM_lipids	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.779	0.0654
MTBLS4	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.5347	0.1057
MTBLS38	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.7106	0.0947
