target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
LIFE_new	FEM_orbitrap_urine;Eawag_XBridgeC18	0.5191	0.1832	0.6553	0.2122
MTBLS20	FEM_orbitrap_urine;Eawag_XBridgeC18	0.4046	0.2713	0.5022	0.3122
MTBLS19	FEM_orbitrap_urine;Eawag_XBridgeC18	-0.1515	0.3581	-0.155	0.4434
FEM_lipids	FEM_orbitrap_urine;Eawag_XBridgeC18	0.0985	0.1477	0.14	0.2085
MTBLS4	FEM_orbitrap_urine;Eawag_XBridgeC18	0.4692	0	0.6653	0
UFZ_Phenomenex	FEM_orbitrap_urine;Eawag_XBridgeC18	0.5536	0.1158	0.7154	0.1252
MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18	-0.1563	0.3458	-0.2168	0.4244
LIFE_old	FEM_orbitrap_urine;Eawag_XBridgeC18	0.4956	0.1828	0.6504	0.2132
FEM_short	FEM_orbitrap_urine;Eawag_XBridgeC18	0.432	0.1566	0.56	0.1938
MPI_Symmetry	FEM_orbitrap_urine;Eawag_XBridgeC18	0.51	0.2077	0.6312	0.2345
MTBLS52	FEM_orbitrap_urine;Eawag_XBridgeC18	0.006	0	-0.0414	0
UniToyama_Atlantis	FEM_orbitrap_urine;Eawag_XBridgeC18	0.5871	0.1495	0.7388	0.143
MTBLS38	FEM_orbitrap_urine;Eawag_XBridgeC18	0.5442	0.1646	0.6782	0.1753
FEM_orbitrap_urine	FEM_orbitrap_urine;Eawag_XBridgeC18	0.7094	0.1211	0.839	0.1089
Eawag_XBridgeC18	FEM_orbitrap_urine;Eawag_XBridgeC18	0.5821	0.0861	0.7501	0.0954
MTBLS39	FEM_orbitrap_urine;Eawag_XBridgeC18	0.6645	0	0.8264	0
IPB_Halle	FEM_orbitrap_urine;Eawag_XBridgeC18	0.5133	0.1648	0.654	0.1889
RIKEN	FEM_orbitrap_urine;Eawag_XBridgeC18	0.4136	0.1676	0.5314	0.2021
MTBLS36	FEM_orbitrap_urine;Eawag_XBridgeC18	0.383	0.1668	0.5042	0.1993
FEM_orbitrap_plasma	FEM_orbitrap_urine;Eawag_XBridgeC18	0.5111	0.2214	0.6361	0.2298
FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18	0.6007	0.083	0.7678	0.089
