target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
Eawag_XBridgeC18	RIKEN;LIFE_old;MTBLS52	0.0936	0.1035	0.1346	0.1468
MTBLS39	RIKEN;LIFE_old;MTBLS52	0.8399	0.176	0.9022	0.129
IPB_Halle	RIKEN;LIFE_old;MTBLS52	0.5046	0.172	0.643	0.189
MTBLS19	RIKEN;LIFE_old;MTBLS52	0.0656	0.3446	0.0648	0.4413
MTBLS36	RIKEN;LIFE_old;MTBLS52	0.4882	0.174	0.6257	0.1993
FEM_orbitrap_plasma	RIKEN;LIFE_old;MTBLS52	0.4214	0.2009	0.5586	0.2251
RIKEN	RIKEN;LIFE_old;MTBLS52	0.5083	0.129	0.6539	0.1451
MTBLS17	RIKEN;LIFE_old;MTBLS52	0.2689	0.3226	0.3517	0.3745
MTBLS52	RIKEN;LIFE_old;MTBLS52	0.3167	0.3231	0.3822	0.3843
MTBLS20	RIKEN;LIFE_old;MTBLS52	0.5073	0.2101	0.6348	0.2317
FEM_short	RIKEN;LIFE_old;MTBLS52	0.3534	0.1384	0.4733	0.1791
FEM_lipids	RIKEN;LIFE_old;MTBLS52	0.0094	0.1737	-0.0161	0.2431
UniToyama_Atlantis	RIKEN;LIFE_old;MTBLS52	0.2976	0.2113	0.4096	0.2559
MTBLS38	RIKEN;LIFE_old;MTBLS52	0.4578	0.1566	0.6059	0.1816
FEM_long	RIKEN;LIFE_old;MTBLS52	0.4928	0.0962	0.662	0.1101
FEM_orbitrap_urine	RIKEN;LIFE_old;MTBLS52	0.5303	0.149	0.6968	0.1439
UFZ_Phenomenex	RIKEN;LIFE_old;MTBLS52	0.2254	0.136	0.3258	0.19
LIFE_new	RIKEN;LIFE_old;MTBLS52	0.6269	0.1599	0.7654	0.1529
MTBLS4	RIKEN;LIFE_old;MTBLS52	0.5317	0.1647	0.6629	0.1837
LIFE_old	RIKEN;LIFE_old;MTBLS52	0.6058	0.1712	0.7457	0.1812
MPI_Symmetry	RIKEN;LIFE_old;MTBLS52	0.2198	0.2249	0.3054	0.2876
