target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
LIFE_new	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	532.4	10.6	-1	50.98	20.146	0	0	0.4949	0.4949	0	4.9754	4.9754
MTBLS39	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	540.52	5	-1	10	28.7767	0	0	0.8762	0	0	0	0
IPB_Halle	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	536.736	14	-1	90.256	21.4498	0	0	1.6517	0	0	0.8972	0.8972
RIKEN	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	524.9	18.1	-1	153.28	10.9267	0	0	0.303	0.303	0	5.7323	5.7323
LIFE_old	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	535.5	12.7	-1	74.34	15.8581	0	0	1.5152	0.4629	0	5.5203	5.5203
MTBLS36	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	539.576	12	-1	66	28.0441	0	0	1.3635	0	0	0	0
FEM_orbitrap_plasma	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	537.5	7.9	-1	27.3	20.8399	0	0	0.953	0.303	0	2.1213	2.1213
MTBLS52	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	543	19	-1	171	26.9617	0	0	0	0	0	0	0
FEM_short	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	529.392	17	-1	135.592	16.9466	0	0	1.3007	0	0	0.5693	0.5693
UniToyama_Atlantis	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	540.5	9.9	-1	44.1	26.6966	0	0	1.1995	0.303	0	2.7274	2.7274
MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	540.952	7	-1	20.968	27.534	0	0	1.0615	0	0	0.1767	0.1767
FEM_long	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	514.9	28.1	-1	380.48	19.494	0	0	0.303	0.303	0	8.4061	8.4061
UFZ_Phenomenex	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	542	19.2	-1	173.6	26.765	0	0	1.0102	0.4041	0	7.7959	7.7959
MTBLS17	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	541.576	6	-1	14.784	26.1826	0	0	0.9181	0	0	0.4132	0.4132
FEM_lipids	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	537.08	16	-1	119.16	15.5979	0	0	1.5791	0	0	0.9788	0.9788
MTBLS4	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	541.632	9	-1	35.128	16.3679	0	0	0.9205	0	0	1.0997	1.0997
MPI_Symmetry	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	538.448	10	-1	45	22.2781	0	0	1.3468	0	0	0	0
Eawag_XBridgeC18	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	542.8	31.7	-1	482.62	15.7726	0	0	0.4518	0.4629	0	14.7495	14.7495
MTBLS20	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	535.1	7.9	-1	26.68	27.247	0	0	0.303	0.303	0	2.1894	2.1894
MTBLS38	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	536.36	10	-1	45	28.7912	0	0	1.31	0	0	0	0
FEM_orbitrap_urine	RIKEN;LIFE_new;MTBLS20;FEM_long	0	0	535.224	13	-1	77.696	22.2313	0	0	1.5957	0	0	0.5115	0.5115
