target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
MTBLS39	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	343.192	5	-1	10	22.8852	0	0	0.8678	0	0	0	0
MTBLS17	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	344.936	6	-1	14.656	10.7286	0	0	0.8107	0	0	0.6235	0.6235
IPB_Halle	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	341.576	14	-1	90.408	11.612	0	0	1.3753	0	0	0.8141	0.8141
MTBLS36	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	343.976	12	-1	66	21.0659	0	0	1.0736	0	0	0	0
FEM_orbitrap_plasma	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	338.1	7.9	-1	27.26	10.3389	0	0	0.303	0.303	0	2.1835	2.1835
MTBLS52	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	346	19	-1	171	10.3561	0	0	0	0	0	0	0
MTBLS20	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	344.4	7.9	-1	26.64	18.0653	0	0	0.9476	0.303	0	2.1548	2.1548
FEM_short	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	329	17	-1	135.752	10.9669	0	0	0	0	0	0.4518	0.4518
FEM_orbitrap_urine	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	333	13	-1	77.72	10.9081	0	0	0	0	0	0.4853	0.4853
UniToyama_Atlantis	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	343.8	9.9	-1	44.1	10.3055	0	0	1.1606	0.303	0	2.7274	2.7274
MTBLS19	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	344.04	7	-1	20.96	12.1656	0	0	1.0349	0	0	0.1967	0.1967
FEM_long	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	317.9	28.1	-1	380.32	10.4424	0	0	0.303	0.303	0	8.4767	8.4767
LIFE_new	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	342.9	10.6	-1	50.98	10.4451	0	0	1.2495	0.4949	0	4.9342	4.9342
FEM_lipids	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	336.856	16	-1	119.256	21.291	0	0	1.5745	0	0	0.851	0.851
LIFE_old	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	342.9	12.7	-1	74.36	12.5121	0	0	1.5017	0.4629	0	5.576	5.576
MPI_Symmetry	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	342.8	10	-1	45	10.7325	0	0	1.2115	0	0	0	0
UFZ_Phenomenex	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	345.4	19.2	-1	173.64	10.1918	0	0	0.6389	0.4041	0	7.4416	7.4416
Eawag_XBridgeC18	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	345.9	31.7	-1	483.16	10.207	0	0	0.303	0.4629	0	14.5172	14.5172
MTBLS4	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	345.448	9	-1	35.192	10.798	0	0	0.6281	0	0	1.1122	1.1122
RIKEN	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	340.2	18.1	-1	153.42	10.2686	0	0	2.08	0.303	0	5.4589	5.4589
MTBLS38	FEM_long;FEM_short;FEM_orbitrap_plasma;FEM_orbitrap_urine	0	0	341.792	10	-1	45	19.2725	0	0	1.2068	0	0	0	0
