target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
LIFE_old	FEM_orbitrap_urine;UFZ_Phenomenex	0.4982	0.1574	0.6525	0.1769
MPI_Symmetry	FEM_orbitrap_urine;UFZ_Phenomenex	0.2773	0.2326	0.3565	0.2903
Eawag_XBridgeC18	FEM_orbitrap_urine;UFZ_Phenomenex	0.3767	0.1115	0.5039	0.1411
LIFE_new	FEM_orbitrap_urine;UFZ_Phenomenex	0.4272	0.1536	0.5916	0.1821
IPB_Halle	FEM_orbitrap_urine;UFZ_Phenomenex	0.3226	0.1797	0.4294	0.2255
FEM_lipids	FEM_orbitrap_urine;UFZ_Phenomenex	0.5415	0.1299	0.6774	0.1489
MTBLS4	FEM_orbitrap_urine;UFZ_Phenomenex	0.4692	0	0.6653	0
FEM_orbitrap_urine	FEM_orbitrap_urine;UFZ_Phenomenex	0.5855	0.1386	0.7502	0.1333
MTBLS20	FEM_orbitrap_urine;UFZ_Phenomenex	0.3685	0.271	0.4642	0.3268
MTBLS39	FEM_orbitrap_urine;UFZ_Phenomenex	0.6119	0	0.8285	0
MTBLS36	FEM_orbitrap_urine;UFZ_Phenomenex	0.1861	0.2212	0.2467	0.2793
FEM_orbitrap_plasma	FEM_orbitrap_urine;UFZ_Phenomenex	0.3028	0.3015	0.4131	0.3791
FEM_short	FEM_orbitrap_urine;UFZ_Phenomenex	0.5531	0.0945	0.7356	0.0954
MTBLS38	FEM_orbitrap_urine;UFZ_Phenomenex	0.365	0.1945	0.5041	0.2393
MTBLS52	FEM_orbitrap_urine;UFZ_Phenomenex	0.006	0	-0.0114	0
RIKEN	FEM_orbitrap_urine;UFZ_Phenomenex	0.3133	0.1327	0.4427	0.1711
UniToyama_Atlantis	FEM_orbitrap_urine;UFZ_Phenomenex	0.3086	0.2655	0.3996	0.3261
MTBLS19	FEM_orbitrap_urine;UFZ_Phenomenex	0.0833	0.3228	0.1202	0.4094
FEM_long	FEM_orbitrap_urine;UFZ_Phenomenex	0.4946	0.1034	0.6669	0.1181
UFZ_Phenomenex	FEM_orbitrap_urine;UFZ_Phenomenex	0.5099	0.0965	0.6812	0.1085
MTBLS17	FEM_orbitrap_urine;UFZ_Phenomenex	0.2623	0.4085	0.2825	0.4823
