target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	944.528	6	-1	14.728	26.5828	0	0	0.8574	0	0	0.5444	0.5444
LIFE_new	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	938.7	10.6	-1	50.96	20.9483	0	0	1.3439	0.4949	0	4.9609	4.9609
FEM_lipids	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	939.96	16	-1	119.232	22.14	0	0	1.6034	0	0	0.8437	0.8437
MTBLS36	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	943.696	12	-1	66	21.6483	0	0	1.2714	0	0	0	0
FEM_orbitrap_plasma	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	940.6	7.9	-1	27.26	22.7407	0	0	1.0498	0.303	0	2.1171	2.1171
MTBLS39	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	943.096	5	-1	10	22.7457	0	0	1.0351	0	0	0	0
MTBLS20	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	943.5	7.9	-1	26.66	22.5184	0	0	1.359	0.303	0	2.3527	2.3527
FEM_short	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	932.2	17	-1	135.728	22.4468	0	0	1.4756	0	0	0.5294	0.5294
UniToyama_Atlantis	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	943.6	9.9	-1	44.1	21.7523	0	0	1.3401	0.303	0	2.7274	2.7274
MTBLS19	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	944.504	7	-1	20.928	21.7043	0	0	0.9641	0	0	0.2595	0.2595
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	917.9	28.1	-1	380.52	21.7804	0	0	0.303	0.303	0	8.4594	8.4594
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	933.3	12.7	-1	74.34	24.7303	0	0	0.4629	0.4629	0	5.5645	5.5645
MTBLS52	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	946	19	-1	171	22.021	0	0	0	0	0	0	0
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	926.8	19.2	-1	173.98	22.2993	0	0	0.4041	0.4041	0	7.8363	7.8363
MPI_Symmetry	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	941.952	10	-1	45	22.3714	0	0	1.3904	0	0	0	0
MTBLS4	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	944.656	9	-1	35.08	22.0425	0	0	0.9079	0	0	1.1472	1.1472
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	914.3	31.7	-1	482.76	21.602	0	0	0.4629	0.4629	0	14.3492	14.3492
MTBLS38	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	939.288	10	-1	45	22.3276	0	0	1.4074	0	0	0	0
FEM_orbitrap_urine	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	939.048	13	-1	77.712	25.33	0	0	1.3904	0	0	0.5361	0.5361
IPB_Halle	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	939.48	14	-1	90.352	21.5331	0	0	1.7716	0	0	0.7213	0.7213
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	0	927.9	18.1	-1	153.38	22.4607	0	0	0.303	0.303	0	5.3486	5.3486
