target_system	training_system	score	score_std
FEM_orbitrap_urine	RIKEN;LIFE_new;MTBLS20;FEM_long	0.6944	0.0992
MPI_Symmetry	RIKEN;LIFE_new;MTBLS20;FEM_long	0.7188	0.1023
FEM_short	RIKEN;LIFE_new;MTBLS20;FEM_long	0.7532	0.0664
Eawag_XBridgeC18	RIKEN;LIFE_new;MTBLS20;FEM_long	0.6546	0.0537
MTBLS39	RIKEN;LIFE_new;MTBLS20;FEM_long	0.8704	0.1129
RIKEN	RIKEN;LIFE_new;MTBLS20;FEM_long	0.7556	0.067
IPB_Halle	RIKEN;LIFE_new;MTBLS20;FEM_long	0.6705	0.0618
FEM_orbitrap_plasma	RIKEN;LIFE_new;MTBLS20;FEM_long	0.676	0.1308
MTBLS38	RIKEN;LIFE_new;MTBLS20;FEM_long	0.7714	0.0732
FEM_lipids	RIKEN;LIFE_new;MTBLS20;FEM_long	0.5953	0.0825
LIFE_new	RIKEN;LIFE_new;MTBLS20;FEM_long	0.7181	0.0857
MTBLS52	RIKEN;LIFE_new;MTBLS20;FEM_long	0.731	0
MTBLS20	RIKEN;LIFE_new;MTBLS20;FEM_long	0.7186	0.1066
LIFE_old	RIKEN;LIFE_new;MTBLS20;FEM_long	0.7052	0.0776
UniToyama_Atlantis	RIKEN;LIFE_new;MTBLS20;FEM_long	0.698	0.111
MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long	0.5102	0.1487
FEM_long	RIKEN;LIFE_new;MTBLS20;FEM_long	0.811	0.0513
UFZ_Phenomenex	RIKEN;LIFE_new;MTBLS20;FEM_long	0.6465	0.0663
MTBLS17	RIKEN;LIFE_new;MTBLS20;FEM_long	0.2905	0.1885
MTBLS4	RIKEN;LIFE_new;MTBLS20;FEM_long	0.592	0.118
MTBLS36	RIKEN;LIFE_new;MTBLS20;FEM_long	0.6536	0.0939
