C	epsilon	score	target_system	training_systems
0.001	0.25	-0.123	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.5	-0.1292	UFZ_Phenomenex	UFZ_Phenomenex
0.001	1	-0.1336	UFZ_Phenomenex	UFZ_Phenomenex
0.01	1e-04	-0.1085	UFZ_Phenomenex	UFZ_Phenomenex
0.01	5e-04	-0.1085	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.001	-0.1085	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.005	-0.1086	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.01	-0.1087	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.025	-0.109	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.05	-0.1095	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.1	-0.1116	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.25	-0.1196	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.5	-0.1256	UFZ_Phenomenex	UFZ_Phenomenex
0.01	1	-0.1311	UFZ_Phenomenex	UFZ_Phenomenex
0.1	1e-04	-0.079	UFZ_Phenomenex	UFZ_Phenomenex
0.1	5e-04	-0.079	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.001	-0.079	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.005	-0.0789	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.01	-0.0789	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.025	-0.0789	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.05	-0.079	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.1	-0.0796	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.25	-0.0884	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.5	-0.0909	UFZ_Phenomenex	UFZ_Phenomenex
0.1	1	-0.107	UFZ_Phenomenex	UFZ_Phenomenex
1	1e-04	0.0859	UFZ_Phenomenex	UFZ_Phenomenex
1	5e-04	0.0859	UFZ_Phenomenex	UFZ_Phenomenex
1	0.001	0.0859	UFZ_Phenomenex	UFZ_Phenomenex
1	0.005	0.0859	UFZ_Phenomenex	UFZ_Phenomenex
1	0.01	0.086	UFZ_Phenomenex	UFZ_Phenomenex
1	0.025	0.0861	UFZ_Phenomenex	UFZ_Phenomenex
1	0.05	0.0864	UFZ_Phenomenex	UFZ_Phenomenex
1	0.1	0.087	UFZ_Phenomenex	UFZ_Phenomenex
1	0.25	0.0877	UFZ_Phenomenex	UFZ_Phenomenex
1	0.5	0.0842	UFZ_Phenomenex	UFZ_Phenomenex
1	1	0.0816	UFZ_Phenomenex	UFZ_Phenomenex
10	1e-04	0.3879	UFZ_Phenomenex	UFZ_Phenomenex
10	5e-04	0.3879	UFZ_Phenomenex	UFZ_Phenomenex
10	0.001	0.3879	UFZ_Phenomenex	UFZ_Phenomenex
10	0.005	0.3879	UFZ_Phenomenex	UFZ_Phenomenex
10	0.01	0.3879	UFZ_Phenomenex	UFZ_Phenomenex
10	0.025	0.3879	UFZ_Phenomenex	UFZ_Phenomenex
10	0.05	0.3878	UFZ_Phenomenex	UFZ_Phenomenex
10	0.1	0.3878	UFZ_Phenomenex	UFZ_Phenomenex
10	0.25	0.3878	UFZ_Phenomenex	UFZ_Phenomenex
10	0.5	0.3874	UFZ_Phenomenex	UFZ_Phenomenex
10	1	0.3791	UFZ_Phenomenex	UFZ_Phenomenex
100	1e-04	0.3874	UFZ_Phenomenex	UFZ_Phenomenex
100	5e-04	0.3874	UFZ_Phenomenex	UFZ_Phenomenex
100	0.001	0.3874	UFZ_Phenomenex	UFZ_Phenomenex
100	0.005	0.3872	UFZ_Phenomenex	UFZ_Phenomenex
100	0.01	0.3871	UFZ_Phenomenex	UFZ_Phenomenex
100	0.025	0.3867	UFZ_Phenomenex	UFZ_Phenomenex
100	0.05	0.3861	UFZ_Phenomenex	UFZ_Phenomenex
100	0.1	0.3849	UFZ_Phenomenex	UFZ_Phenomenex
100	0.25	0.3816	UFZ_Phenomenex	UFZ_Phenomenex
100	0.5	0.3753	UFZ_Phenomenex	UFZ_Phenomenex
100	1	0.354	UFZ_Phenomenex	UFZ_Phenomenex
1000	1e-04	0.3874	UFZ_Phenomenex	UFZ_Phenomenex
1000	5e-04	0.3874	UFZ_Phenomenex	UFZ_Phenomenex
1000	0.001	0.3874	UFZ_Phenomenex	UFZ_Phenomenex
1000	0.005	0.3872	UFZ_Phenomenex	UFZ_Phenomenex
1000	0.01	0.3871	UFZ_Phenomenex	UFZ_Phenomenex
1000	0.025	0.3867	UFZ_Phenomenex	UFZ_Phenomenex
1000	0.05	0.3861	UFZ_Phenomenex	UFZ_Phenomenex
1000	0.1	0.3849	UFZ_Phenomenex	UFZ_Phenomenex
1000	0.25	0.3816	UFZ_Phenomenex	UFZ_Phenomenex
1000	0.5	0.3753	UFZ_Phenomenex	UFZ_Phenomenex
1000	1	0.354	UFZ_Phenomenex	UFZ_Phenomenex
0.001	1e-04	-0.1549	UFZ_Phenomenex	UFZ_Phenomenex
0.001	5e-04	-0.1549	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.001	-0.1549	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.005	-0.1548	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.01	-0.1548	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.025	-0.1545	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.05	-0.1542	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.1	-0.1549	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.25	-0.1547	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.5	-0.1468	UFZ_Phenomenex	UFZ_Phenomenex
0.001	1	-0.1234	UFZ_Phenomenex	UFZ_Phenomenex
0.01	1e-04	-0.1506	UFZ_Phenomenex	UFZ_Phenomenex
0.01	5e-04	-0.1506	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.001	-0.1506	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.005	-0.1505	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.01	-0.1504	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.025	-0.1502	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.05	-0.1502	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.1	-0.1508	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.25	-0.1518	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.5	-0.1439	UFZ_Phenomenex	UFZ_Phenomenex
0.01	1	-0.1207	UFZ_Phenomenex	UFZ_Phenomenex
0.1	1e-04	-0.1152	UFZ_Phenomenex	UFZ_Phenomenex
0.1	5e-04	-0.1152	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.001	-0.1152	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.005	-0.1153	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.01	-0.1154	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.025	-0.1157	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.05	-0.1166	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.1	-0.1198	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.25	-0.1276	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.5	-0.117	UFZ_Phenomenex	UFZ_Phenomenex
0.1	1	-0.1019	UFZ_Phenomenex	UFZ_Phenomenex
1	1e-04	0.0089	UFZ_Phenomenex	UFZ_Phenomenex
1	5e-04	0.0089	UFZ_Phenomenex	UFZ_Phenomenex
1	0.001	0.009	UFZ_Phenomenex	UFZ_Phenomenex
1	0.005	0.0092	UFZ_Phenomenex	UFZ_Phenomenex
1	0.01	0.0095	UFZ_Phenomenex	UFZ_Phenomenex
