target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
UniToyama_Atlantis	UniToyama_Atlantis	0.6644	0.1826	0.7985	0.1722
MTBLS19	MTBLS19	0.3674	0.2361	0.4642	0.3021
FEM_long	FEM_long	0.7635	0.0713	0.8939	0.0634
MTBLS36	MTBLS36	0.4027	0.1621	0.5494	0.2036
UFZ_Phenomenex	UFZ_Phenomenex	0.5389	0.1053	0.7079	0.1043
LIFE_old	LIFE_old	0.6858	0.1611	0.8174	0.1564
MTBLS39	MTBLS39	0.7583	0.2315	0.837	0.21
FEM_orbitrap_urine	FEM_orbitrap_urine	0.6686	0.1185	0.816	0.1149
MTBLS20	MTBLS20	0.6283	0.2186	0.7522	0.2111
MTBLS38	MTBLS38	0.5207	0.1742	0.6599	0.1958
RIKEN	RIKEN	0.6312	0.1307	0.7732	0.1282
MTBLS4	MTBLS4	0.6724	0.1211	0.7929	0.1059
FEM_lipids	FEM_lipids	0.581	0.1355	0.7246	0.139
IPB_Halle	IPB_Halle	0.5725	0.1707	0.7017	0.1763
MTBLS52	MTBLS52	0.3204	0.3958	0.386	0.4564
MTBLS17	MTBLS17	0.6197	0.2519	0.7336	0.23
FEM_short	FEM_short	0.6385	0.097	0.7964	0.0932
LIFE_new	LIFE_new	0.6599	0.128	0.8018	0.1167
FEM_orbitrap_plasma	FEM_orbitrap_plasma	0.6783	0.1689	0.8016	0.1482
MPI_Symmetry	MPI_Symmetry	0.3891	0.1896	0.5199	0.2236
Eawag_XBridgeC18	Eawag_XBridgeC18	0.5932	0.0637	0.7671	0.0662
