C	target_system	training_systems
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
0.1000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
10.0000	RIKEN	RIKEN
1.0000	RIKEN	RIKEN
