id,rank,mol_id,cand_num
BGRJTUBHPOOWDU-UHFFFAOYSA-N,1,CCMSLIB00000084987,1233
CEMAWMOMDPGJMB-UHFFFAOYSA-N,8,CCMSLIB00000085920,7705
IUBSYMUCCVWXPE-UHFFFAOYSA-N,1,CCMSLIB00000086135,3380
CPEUVMUXAHMANV-UHFFFAOYSA-N,1,CCMSLIB00000078310,360
MNIPYSSQXLZQLJ-UHFFFAOYSA-N,9,CCMSLIB00000085455,506
AAOVKJBEBIDNHE-UHFFFAOYSA-N,1,CCMSLIB00000079136,1432
DKYWVDODHFEZIM-UHFFFAOYSA-N,37,CCMSLIB00000086078,1552
NDDAHWYSQHTHNT-UHFFFAOYSA-N,17,CCMSLIB00000077036,662
OGJPXUAPXNRGGI-UHFFFAOYSA-N,2,CCMSLIB00000078175,618
AQHHHDLHHXJYJD-UHFFFAOYSA-N,1,CCMSLIB00000078648,5283
VSZGPKBBMSAYNT-RRFJBIMHSA-N,22,CCMSLIB00000078526,491
VREFGVBLTWBCJP-UHFFFAOYSA-N,2,CCMSLIB00000078969,186
VGKDLMBJGBXTGI-SJCJKPOMSA-N,6,CCMSLIB00000084936,323
GBBSUAFBMRNDJC-UHFFFAOYSA-N,36,CCMSLIB00000077079,256
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,25,CCMSLIB00000005002,207
MYSWGUAQZAJSOK-UHFFFAOYSA-N,2,CCMSLIB00000078397,857
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,1,CCMSLIB00000006519,421
BPFYOAJNDMUVBL-UHFFFAOYSA-N,8,CCMSLIB00000078157,188
RONZAEMNMFQXRA-UHFFFAOYSA-N,14,CCMSLIB00000078388,2254
SUBDBMMJDZJVOS-UHFFFAOYSA-N,596,CCMSLIB00000079070,3480
ZPUCINDJVBIVPJ-LJISPDSOSA-N,4,CCMSLIB00000080017,2350
SYOKIDBDQMKNDQ-XWTIBIIYSA-N,1271,CCMSLIB00000078549,3594
NTJOBXMMWNYJFB-UHFFFAOYSA-N,3,CCMSLIB00000078080,1030
PNVNVHUZROJLTJ-UHFFFAOYSA-N,78,CCMSLIB00000078150,7292
DDLIGBOFAVUZHB-UHFFFAOYSA-N,4,CCMSLIB00000078908,41
ZUXABONWMNSFBN-UHFFFAOYSA-N,10,CCMSLIB00000005801,268
GSDSWSVVBLHKDQ-UHFFFAOYSA-N,6,CCMSLIB00000079014,523
OJMMVQQUTAEWLP-KIDUDLJLSA-N,1,CCMSLIB00000077092,16
QMLVECGLEOSESV-RYUDHWBXSA-N,29,CCMSLIB00000078562,1137
AHOUBRCZNHFOSL-YOEHRIQHSA-N,227,CCMSLIB00000085281,1066
HYAFETHFCAUJAY-UHFFFAOYSA-N,3,CCMSLIB00000078934,4027
PHVGLTMQBUFIQQ-UHFFFAOYSA-N,4,CCMSLIB00000084953,765
ODQWQRRAPPTVAG-BOPFTXTBSA-N,1,CCMSLIB00000085905,2540
SPFYMRJSYKOXGV-UHFFFAOYSA-N,18,CCMSLIB00000078564,1106
GDLIGKIOYRNHDA-UHFFFAOYSA-N,2,CCMSLIB00000085403,196
BCGWQEUPMDMJNV-UHFFFAOYSA-N,2,CCMSLIB00000085117,2453
FSVJFNAIGNNGKK-UHFFFAOYSA-N,36,CCMSLIB00000077003,4801
XBHBWNFJWIASRO-UHFFFAOYSA-N,2,CCMSLIB00000085632,489
WSEQXVZVJXJVFP-UHFFFAOYSA-N,262,CCMSLIB00000079143,531
KRMDCWKBEZIMAB-UHFFFAOYSA-N,1,CCMSLIB00000078599,678
QSLMDECMDJKHMQ-UHFFFAOYSA-N,16,CCMSLIB00000086184,678
BFYIZQONLCFLEV-DAELLWKTSA-N,17,CCMSLIB00000079118,1061
HTIQEAQVCYTUBX-UHFFFAOYSA-N,4,CCMSLIB00000078338,176
FSQKKOOTNAMONP-UHFFFAOYSA-N,37,CCMSLIB00000086037,275
