C	target_system	training_systems
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
10	Eawag_XBridgeC18	FEM_long
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
10	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
