target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
FEM_long	Eawag_XBridgeC18	0.627	0.0696	0.8118	0.072
FEM_long	FEM_long	0.8093	0.0651	0.922	0.0475
FEM_long	RIKEN	0.6262	0.1029	0.7725	0.1168
FEM_long	UFZ_Phenomenex	0.6509	0.0807	0.8226	0.0781
FEM_long	LIFE_old	0.6455	0.0926	0.7957	0.093
RIKEN	Eawag_XBridgeC18	0.5167	0.1121	0.6692	0.1311
RIKEN	FEM_long	0.6723	0.0941	0.8089	0.1048
RIKEN	RIKEN	0.6941	0.0939	0.8265	0.0999
RIKEN	UFZ_Phenomenex	0.4649	0.1158	0.6147	0.1405
RIKEN	LIFE_old	0.6246	0.1066	0.7883	0.107
Eawag_XBridgeC18	Eawag_XBridgeC18	0.6854	0.0609	0.8465	0.0552
Eawag_XBridgeC18	FEM_long	0.2969	0.103	0.4223	0.141
Eawag_XBridgeC18	RIKEN	0.2022	0.1335	0.2854	0.1869
Eawag_XBridgeC18	UFZ_Phenomenex	0.5298	0.0806	0.7043	0.0909
Eawag_XBridgeC18	LIFE_old	0.2255	0.1175	0.3268	0.1632
UFZ_Phenomenex	Eawag_XBridgeC18	0.6256	0.0994	0.7861	0.1039
UFZ_Phenomenex	FEM_long	0.3794	0.1152	0.5314	0.1474
UFZ_Phenomenex	RIKEN	0.3239	0.1294	0.4638	0.1728
UFZ_Phenomenex	UFZ_Phenomenex	0.6021	0.1041	0.77	0.0995
UFZ_Phenomenex	LIFE_old	0.3265	0.1314	0.4578	0.166
LIFE_old	Eawag_XBridgeC18	0.572	0.141	0.7281	0.1466
LIFE_old	FEM_long	0.6452	0.1747	0.7824	0.1703
LIFE_old	RIKEN	0.6304	0.1418	0.7801	0.1421
LIFE_old	UFZ_Phenomenex	0.5261	0.1551	0.6926	0.1691
LIFE_old	LIFE_old	0.7244	0.1233	0.8486	0.115
