target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
FEM_long	Eawag_XBridgeC18	0.6311	0	0.8325	0
FEM_long	FEM_long	0.8093	0.0651	0.922	0.0475
FEM_long	RIKEN	0.6379	0	0.7957	0
FEM_long	UFZ_Phenomenex	0.6491	0	0.8382	0
FEM_long	LIFE_old	0.6666	0	0.8328	0
RIKEN	Eawag_XBridgeC18	0.513	0	0.6888	0
RIKEN	FEM_long	0.6879	0	0.8388	0
RIKEN	RIKEN	0.6941	0.0939	0.8265	0.0999
RIKEN	UFZ_Phenomenex	0.4574	0	0.6305	0
RIKEN	LIFE_old	0.6351	0	0.8231	0
UFZ_Phenomenex	Eawag_XBridgeC18	0.6853	0	0.8523	0
UFZ_Phenomenex	FEM_long	0.3639	0	0.5319	0
UFZ_Phenomenex	RIKEN	0.3153	0	0.4704	0
UFZ_Phenomenex	UFZ_Phenomenex	0.6021	0.1041	0.77	0.0995
UFZ_Phenomenex	LIFE_old	0.3154	0	0.4621	0
Eawag_XBridgeC18	Eawag_XBridgeC18	0.6854	0.0609	0.8465	0.0552
Eawag_XBridgeC18	FEM_long	0.2971	0	0.434	0
Eawag_XBridgeC18	RIKEN	0.2081	0	0.2986	0
Eawag_XBridgeC18	UFZ_Phenomenex	0.5753	0	0.7571	0
Eawag_XBridgeC18	LIFE_old	0.2318	0	0.3422	0
LIFE_old	Eawag_XBridgeC18	0.5803	0	0.7776	0
LIFE_old	FEM_long	0.6528	0	0.8306	0
LIFE_old	RIKEN	0.6245	0	0.8086	0
LIFE_old	UFZ_Phenomenex	0.5263	0	0.7361	0
LIFE_old	LIFE_old	0.7244	0.1233	0.8486	0.115
